fullback,team,season_id,Cluster_Label,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation
Alejandro Grimaldo García,Bayer Leverkusen,281,Attacking Wing-Back,8.6,8.6,7.9,8.6,8.6
Andrea Masiello,Atalanta,27,Complete Fullback,8.4,8.3,8.8,8.7,8.0
Juan Bernat Velasco,Paris Saint-Germain,108,Attacking Wing-Back,8.6,8.6,7.8,8.6,8.6
Marcos Alonso Mendoza,Fiorentina,27,Progressive Playmaker,9.3,7.7,7.6,8.5,9.1
Matteo Ciofani,Frosinone,27,Attacking Wing-Back,8.4,8.7,7.8,9.2,8.0
Davide Brivio,Atalanta,27,Attacking Wing-Back,9.2,8.7,7.5,9.3,7.3
Cristian Daniel Ansaldi,Genoa,27,Progressive Playmaker,8.9,8.4,7.3,8.8,8.6
Danilo D''Ambrosio,Inter Milan,27,Complete Fullback,8.6,8.4,8.9,8.6,7.5
Josip Juranović,Croatia,106,Progressive Playmaker,8.8,8.8,7.1,8.5,8.8
Gabriel Moisés Antunes da Silva,Carpi,27,Progressive Playmaker,9.2,7.9,7.2,8.6,9.1
Stephan Lichtsteiner,Juventus,27,Attacking Wing-Back,8.5,8.8,8.1,8.5,8.1
Manuel Pasqual,Fiorentina,27,Progressive Playmaker,9.3,8.2,8.4,7.2,8.8
Yuto Nagatomo,Inter Milan,27,Attacking Wing-Back,8.8,8.6,8.1,9.0,7.4
Aleandro Rosi,Frosinone,27,Attacking Wing-Back,8.4,8.3,7.7,8.9,8.6
Gianpaolo Bellini,Atalanta,27,Attacking Wing-Back,8.7,9.3,7.6,9.3,7.0
Ibrahima Mbaye,Bologna,27,Attacking Wing-Back,8.6,8.7,8.4,9.2,6.8
Saud Abdullah Abdul Hamid,Saudi Arabia,106,Attacking Wing-Back,8.4,8.6,7.1,8.8,8.8
Ferdi Erenay Kadıoğlu,Turkey,282,Progressive Playmaker,8.8,7.9,8.1,7.9,8.8
Šime Vrsaljko,Sassuolo,27,Attacking Wing-Back,8.4,8.7,7.5,8.5,8.3
Samuel Souprayen,Hellas Verona,27,Progressive Playmaker,9.3,7.8,8.0,7.8,8.5
Iván Rodrigo Piris Leguizamón,Udinese,27,Complete Fullback,8.6,8.4,9.3,7.8,7.3
Nenad Tomović,Fiorentina,27,Attacking Wing-Back,8.5,8.6,8.8,8.5,6.9
Lucas Digne,AS Roma,27,Progressive Playmaker,9.2,8.5,7.5,7.9,8.2
Facundo Sebastián Roncaglia,Fiorentina,27,Attacking Wing-Back,8.6,8.7,8.8,8.6,6.6
Maximilian Mittelstädt,Germany,282,Progressive Playmaker,8.8,8.2,7.9,7.6,8.8
Juan Guilherme Nunes Jesus,Inter Milan,27,Progressive Playmaker,9.2,7.8,8.0,8.5,7.7
Danilo Luiz da Silva,Brazil,106,Attacking Wing-Back,8.4,8.8,7.5,8.7,7.8
Michelangelo Albertazzi,Hellas Verona,27,Progressive Playmaker,9.3,7.9,7.0,8.2,8.7
Marcello Gazzola,Sassuolo,27,Attacking Wing-Back,8.6,8.7,7.0,9.3,7.5
Roberto Crivello,Frosinone,27,Progressive Playmaker,9.2,7.9,7.6,8.5,7.8
Nicolás Alejandro Tagliafico,Argentina,106,Progressive Playmaker,8.8,7.6,8.8,7.7,8.1
Moon-Hwan Kim,South Korea,106,Complete Fullback,8.0,8.2,8.7,8.5,7.6
Cristian Zaccardo,Carpi,27,Progressive Playmaker,8.6,8.1,8.0,7.7,8.6
Christian Maggio,Napoli,27,Attacking Wing-Back,8.4,8.7,7.8,8.4,7.6
Abdoulay Konko,Lazio,27,Progressive Playmaker,8.7,7.8,8.4,7.9,8.1
Dušan Basta,Lazio,27,Complete Fullback,8.5,8.3,8.6,7.9,7.6
Thilo Kehrer,Paris Saint-Germain,108,Progressive Playmaker,8.6,8.6,8.5,7.0,8.1
Vincent Laurini,Empoli,27,Attacking Wing-Back,8.4,8.6,8.0,8.8,6.9
Alistair Johnston,Canada,106,Attacking Wing-Back,7.9,8.5,7.6,8.6,8.1
Edson Braafheid,Lazio,27,Complete Fullback,8.3,8.5,8.7,7.6,7.5
Vassilis Torosidis,AS Roma,27,Attacking Wing-Back,8.7,8.7,6.6,9.0,7.6
Éder Gabriel Militão,Brazil,106,Complete Fullback,7.8,8.5,8.8,8.1,7.4
Marco Zambelli,Empoli,27,Attacking Wing-Back,8.5,8.2,7.9,8.2,7.7
Bartosz Bereszyński,Poland,106,Complete Fullback,8.2,7.7,8.8,8.6,7.2
Fabrizio Poli,Carpi,27,Progressive Playmaker,8.9,8.0,7.8,7.5,8.1
Marcos Javier Acuña,Argentina,106,Attacking Wing-Back,8.3,7.6,6.7,8.8,8.8
Armando Izzo,Genoa,27,Complete Fullback,8.7,7.2,9.3,7.4,7.5
Ngoran Suiru Fai Collins,Cameroon,106,Complete Fullback,7.9,8.0,8.4,8.0,7.8
Patricio Gabarrón Gil,Lazio,27,Attacking Wing-Back,8.4,9.3,7.0,8.4,7.0
