,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
66,Archimede Morleo,Bologna,310.98,8.6,6.9,7.5,7.5,8.5,4,3.5,0.03,0.03,0.02,0.02,0.0,7.8,12,27
6,Abdul Rahman Baba,Ghana,196.97,7.5,6.8,8.8,7.1,8.7,2,2.2,0.03,0.03,0.02,0.02,0.0,7.78,43,106
230,Guillermo Varela Olivera,Uruguay,197.93,7.1,7.8,8.4,7.7,7.9,2,2.2,0.03,0.03,0.02,0.02,0.0,7.78,43,106
517,Stefan Posch,Austria,286.95,7.9,7.5,7.9,7.1,8.2,3,3.2,0.04,0.04,0.03,0.03,0.0,7.72,55,282
331,Luca Bittante,Empoli,353.42,8.3,7.4,7.1,7.8,8.0,10,3.9,0.03,0.03,0.02,0.02,0.0,7.72,12,27
271,Jin-Su Kim,South Korea,243.93,8.1,7.5,6.9,7.2,8.8,3,2.7,0.03,0.03,0.02,0.02,0.0,7.7,43,106
474,Presnel Kimpembe,Paris Saint-Germain,207.9,7.5,7.6,8.0,8.1,7.3,3,2.3,0.04,0.04,0.03,0.03,0.0,7.7,7,108
378,Martín Montoya Torralbo,Inter Milan,261.97,7.4,7.8,7.2,8.4,7.6,3,2.9,0.03,0.03,0.02,0.02,0.0,7.68,12,27
84,Birger Meling,Rennes,182.95,7.2,7.0,8.6,7.3,8.3,2,2.0,0.04,0.04,0.03,0.03,0.0,7.68,7,108
389,Matty Cash,Poland,272.98,7.9,7.3,7.4,7.5,8.0,3,3.0,0.03,0.03,0.02,0.02,0.0,7.62,43,106
472,Piero Martín Hincapié Reyna,Bayer Leverkusen,264.8,8.6,8.0,6.8,7.7,7.0,5,2.9,0.03,0.04,0.03,0.02,0.0,7.62,9,281
301,José Ángel Valdés Díaz,Eibar,184.97,8.0,7.0,7.4,6.9,8.6,2,2.1,0.03,0.03,0.02,0.02,0.0,7.58,11,4
156,Dávid Hancko,Slovakia,279.97,8.3,7.4,7.1,6.9,8.1,3,3.1,0.04,0.04,0.03,0.03,0.0,7.56,55,282
