,fullback,team,minutes_played,overlap_inversion,final_third_entries,defensive_performance,ball_progression,chance_creation,matches_played,full_match_equivalent,overlap_inversion_ci,final_third_entries_ci,defensive_performance_ci,ball_progression_ci,chance_creation_ci,composite_score,competition_id,season_id
463,Patricio Gabarrón Gil,Lazio,555.92,8.4,9.3,7.0,8.4,7.0,7,6.2,0.03,0.03,0.02,0.02,0.0,8.02,12,27
146,Denzel Dumfries,Netherlands,371.93,8.5,7.2,8.8,7.1,8.4,4,4.1,0.04,0.04,0.03,0.03,0.0,8.0,55,282
479,Raphaël Adelino José Guerreiro,Portugal,300.93,8.8,7.9,6.0,8.8,8.4,4,3.3,0.03,0.03,0.02,0.02,0.0,7.98,43,106
60,Antonee Robinson,United States,285.95,8.6,7.7,7.2,8.3,8.0,3,3.2,0.03,0.03,0.02,0.02,0.0,7.96,43,106
568,Youssouf Sabaly,Senegal,287.93,8.1,7.5,7.9,8.2,8.0,3,3.2,0.03,0.03,0.02,0.02,0.0,7.94,43,106
546,Urby Emanuelson,Hellas Verona,271.98,8.2,8.5,6.7,9.0,7.3,3,3.0,0.03,0.03,0.02,0.02,0.0,7.94,12,27
328,Lorenzo De Silvestri,Sampdoria,556.9,8.5,8.1,7.4,8.0,7.7,7,6.2,0.03,0.03,0.02,0.02,0.0,7.94,12,27
336,Luca Rossettini,Bologna,1077.83,8.5,7.5,8.3,7.1,8.2,12,12.0,0.03,0.03,0.02,0.02,0.0,7.92,12,27
432,Nicolas Sebastian Frey,Chievo,1323.65,8.4,8.1,6.2,8.0,8.7,17,14.7,0.03,0.03,0.02,0.02,0.0,7.88,12,27
250,Ivan Perišić,Croatia,305.95,8.8,6.6,8.8,6.4,8.8,3,3.4,0.03,0.03,0.02,0.02,0.0,7.88,43,106
441,Nouhou Tolo,Cameroon,279.92,8.5,8.4,7.6,7.7,7.2,3,3.1,0.03,0.03,0.02,0.02,0.0,7.88,43,106
74,Aziz Eraltay Behich,Australia,289.93,8.7,7.9,8.8,7.3,6.7,3,3.2,0.03,0.03,0.02,0.02,0.0,7.88,43,106
295,José Diogo Dalot Teixeira,Portugal,265.92,7.7,7.9,7.7,7.8,8.2,3,3.0,0.03,0.03,0.02,0.02,0.0,7.86,43,106
321,Kyle Walker,England,298.97,7.9,7.7,8.4,8.1,7.1,3,3.3,0.04,0.04,0.03,0.03,0.0,7.84,55,282
50,Andrea Conti,Atalanta,347.92,8.4,8.3,7.6,7.5,7.4,5,3.9,0.03,0.03,0.02,0.02,0.0,7.84,12,27
135,David Raum,Germany,243.98,8.2,7.3,7.1,7.6,8.8,3,2.7,0.03,0.03,0.02,0.02,0.0,7.8,43,106
