player,team,season_id,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,cluster_profile,relative_finishing_quality,relative_chance_creation,relative_ball_progression,relative_one_v_one,relative_off_ball_movement,relative_defensive_contribution
Nathan Tella,Bayer Leverkusen,281,7.0,4.28,4.58,7.0,7.0,7.12,Traditional Winger,0.8366666666666669,-1.8833333333333329,-1.583333333333333,0.8366666666666669,0.8366666666666669,0.956666666666667
Naïm Sliti,Tunisia,106,7.0,4.77,5.11,7.0,7.0,7.31,Traditional Winger,0.6350000000000007,-1.5949999999999998,-1.254999999999999,0.6350000000000007,0.6350000000000007,0.9450000000000003
Nedim Bajrami,Albania,282,7.0,4.0,4.9,7.0,7.0,7.0,Traditional Winger,0.8500000000000005,-2.1499999999999995,-1.2499999999999991,0.8500000000000005,0.8500000000000005,0.8500000000000005
Neymar da Silva Santos Junior,Paris Saint-Germain,108,7.0,4.11,4.9,7.0,7.0,7.39,Traditional Winger,0.7666666666666666,-2.123333333333333,-1.333333333333333,0.7666666666666666,0.7666666666666666,1.1566666666666663
Nicholas Williams Arthuer,Spain,282,7.0,4.12,4.85,7.0,7.0,7.33,Traditional Winger,0.7833333333333341,-2.096666666666666,-1.3666666666666663,0.7833333333333341,0.7833333333333341,1.1133333333333342
Nicola Sansone,Sassuolo,27,7.0,4.28,4.92,7.0,7.0,7.33,Traditional Winger,0.7450000000000001,-1.9749999999999996,-1.335,0.7450000000000001,0.7450000000000001,1.0750000000000002
Nicolas Pépé,OGC Nice,235,7.0,4.14,4.39,7.0,7.0,7.8,Traditional Winger,0.7783333333333333,-2.081666666666667,-1.831666666666667,0.7783333333333333,0.7783333333333333,1.5783333333333331
Nicolò Barella,Italy,282,7.0,4.02,4.73,7.0,7.0,7.0,Traditional Winger,0.875,-2.1050000000000004,-1.3949999999999996,0.875,0.875,0.875
Noah Mbamba,Bayer Leverkusen,281,7.0,4.41,4.5,7.0,7.0,7.0,Traditional Winger,0.8483333333333336,-1.7416666666666663,-1.6516666666666664,0.8483333333333336,0.8483333333333336,0.8483333333333336
Oliver Kragl,Frosinone,27,7.0,4.55,5.53,7.0,7.0,7.48,Traditional Winger,0.5733333333333333,-1.876666666666667,-0.8966666666666665,0.5733333333333333,0.5733333333333333,1.0533333333333337
Oscar Hiljemark,Palermo,27,7.0,4.12,5.23,7.0,7.0,7.62,Traditional Winger,0.6716666666666669,-2.208333333333333,-1.0983333333333327,0.6716666666666669,0.6716666666666669,1.291666666666667
Ousmane Dembélé,Barcelona,4,7.0,4.18,4.86,7.0,7.0,7.08,Traditional Winger,0.8133333333333335,-2.006666666666667,-1.3266666666666662,0.8133333333333335,0.8133333333333335,0.8933333333333335
Pablo Sarabia García,Paris Saint-Germain,235,7.0,4.38,4.56,7.0,7.0,7.0,Traditional Winger,0.8433333333333337,-1.7766666666666664,-1.5966666666666667,0.8433333333333337,0.8433333333333337,0.8433333333333337
Pape Matar Sarr,Metz,108,7.0,4.0,5.41,7.0,7.0,7.55,Traditional Winger,0.6733333333333329,-2.326666666666667,-0.916666666666667,0.6733333333333329,0.6733333333333329,1.2233333333333327
Patrick Wimmer,Austria,282,7.0,5.28,5.24,7.0,7.0,7.65,Traditional Winger,0.4716666666666667,-1.248333333333333,-1.288333333333333,0.4716666666666667,0.4716666666666667,1.121666666666667
