player,team,minutes_played,finishing_quality,chance_creation,ball_progression,one_v_one,off_ball_movement,defensive_contribution,matches_played,full_match_equivalent,composite_score,competition_id,season_id
Nicola Sansone,Sassuolo,2496.53,7.0,4.28,4.92,7.0,7.0,7.33,35,27.7,6.25,12,27
Christopher Antwi-Adjej,Bochum,62.0,7.0,4.25,5.25,7.0,7.0,7.0,1,0.7,6.25,9,281
Maximilian Wittek,Bochum,93.98,7.0,4.0,5.51,7.0,7.0,7.0,1,1.0,6.25,9,281
Jesper Lindstrøm,Denmark,207.95,7.0,4.45,4.77,7.0,7.0,7.28,3,2.3,6.25,43,106
Kevin Spadanuda,AC Ajaccio,61.0,7.0,4.0,4.52,7.0,7.0,8.0,1,0.7,6.25,7,235
Przemysław Frankowski,Lens,92.98,7.0,4.0,4.52,7.0,7.0,7.99,1,1.0,6.25,7,108
Christian Pulisic,United States,240.97,7.0,4.19,5.27,7.0,7.0,7.0,3,2.7,6.24,43,106
Juan Miguel Jiménez López,Real Sociedad,85.0,7.0,4.0,4.62,7.0,7.0,7.82,1,0.9,6.24,11,4
Tomás Eduardo Rincón Hernández,Genoa,90.98,7.0,4.04,5.42,7.0,7.0,7.0,1,1.0,6.24,12,27
Yvann Macon,Saint-Étienne,85.0,7.0,4.0,4.89,7.0,7.0,7.56,1,0.9,6.24,7,108
Julian Draxler,Paris Saint-Germain,106.85,7.0,4.57,4.86,7.0,7.0,7.0,5,1.2,6.24,7,108
Barış Alper Yılmaz,Turkey,377.93,7.0,4.11,4.98,7.0,7.0,7.35,4,4.2,6.24,55,282
Martin Terrier,Rennes,85.0,7.0,4.0,4.71,7.0,7.0,7.71,1,0.9,6.24,7,108
David Pereira da Costa,Lens,151.0,7.0,4.23,4.93,7.0,7.0,7.27,2,1.7,6.24,7,108
Iliman Ndiaye,Senegal,94.98,7.0,4.66,4.64,7.0,7.0,7.11,2,1.1,6.24,43,106
Roberto Maximiliano Pereyra,Juventus,162.97,7.0,4.21,4.89,7.0,7.0,7.36,2,1.8,6.24,12,27
Kevin De Bruyne,Belgium,184.97,7.0,4.11,5.3,7.0,7.0,7.0,2,2.1,6.24,43,106
Steven Berghuis,Netherlands,74.98,7.0,4.12,5.3,7.0,7.0,7.0,1,0.8,6.24,43,106
M''Baye Babacar Niang,AC Milan,235.0,7.0,4.06,5.23,7.0,7.0,7.14,3,2.6,6.24,12,27
José Antonio Reyes Calderón,Arsenal,78.0,7.0,4.0,5.45,7.0,7.0,7.0,1,0.9,6.24,2,44
Arda Güler,Turkey,172.98,7.0,4.14,4.71,7.0,7.0,7.57,2,1.9,6.24,55,282
Ricardo Gabriel Álvarez,Sampdoria,251.95,7.0,4.1,5.04,7.0,7.0,7.33,4,2.8,6.24,12,27
Emanuele Giaccherini,Bologna,1945.73,7.0,4.09,5.03,7.0,7.0,7.29,24,21.6,6.24,12,27
Dušan Tadić,Serbia,49.97,7.0,4.17,5.25,7.0,7.0,7.0,1,0.6,6.24,55,282
Ángel Fabián Di María Hernández,Paris Saint-Germain,1285.67,7.0,4.22,4.94,7.0,7.0,7.27,19,14.3,6.24,7,108
Jesús Joaquín Fernández Sáez de la Torre,Genoa,703.85,7.0,4.27,5.1,7.0,7.0,7.08,12,7.8,6.24,12,27
Lionel Andrés Messi Cuccittini,Barcelona,2165.57,6.94,4.14,5.27,7.0,7.0,7.11,26,24.1,6.24,11,4
Stephan El Shaarawy,AS Roma,990.9,7.0,4.18,4.93,7.0,7.0,7.32,13,11.0,6.24,12,27
Adem Ljajić,Inter Milan,888.7,7.0,4.25,4.91,7.0,7.0,7.28,15,9.9,6.24,12,27
Juan Ignacio Gómez Taleb,Hellas Verona,919.85,7.0,4.29,4.74,7.0,7.0,7.34,12,10.2,6.23,12,27
Florian Wirtz,Bayer Leverkusen,553.83,7.0,4.12,5.02,7.0,7.0,7.24,7,6.2,6.23,9,281
Giacomo Bonaventura,AC Milan,554.9,7.0,4.13,5.24,7.0,7.0,7.0,6,6.2,6.23,12,27
Pione Sisto Ifolo Emirmija,Celta Vigo,17.87,7.0,4.36,4.99,7.0,7.0,7.0,1,0.2,6.23,11,4
Heung-Min Son,South Korea,291.93,7.0,4.14,5.23,7.0,7.0,7.0,3,3.2,6.23,43,106
Cyril Théréau,Udinese,312.98,7.0,4.07,4.9,7.0,7.0,7.39,4,3.5,6.23,12,27
Neymar da Silva Santos Junior,Paris Saint-Germain,1526.85,7.0,4.11,4.9,7.0,7.0,7.39,18,17.0,6.23,7,108
Lorenzo Pellegrini,Italy,154.0,7.0,4.08,4.95,7.0,7.0,7.32,2,1.7,6.23,55,282
Evann Guessand,Nantes,65.0,7.0,4.0,5.38,7.0,7.0,7.0,1,0.7,6.23,7,235
Romano Schmid,Austria,134.98,7.0,4.13,4.75,7.0,7.0,7.49,2,1.5,6.23,55,282
Manuel Pucciarelli,Empoli,277.93,7.0,4.12,4.73,7.0,7.0,7.55,3,3.1,6.23,12,27
Raúl García Escudero,Athletic Club,86.0,7.0,4.0,5.37,7.0,7.0,7.0,1,1.0,6.23,11,4
Jamal Musiala,Germany,423.97,7.0,4.08,5.0,7.0,7.0,7.29,5,4.7,6.23,55,282
Darko Lazović,Genoa,490.68,7.0,4.25,5.12,7.0,7.0,7.0,10,5.5,6.23,12,27
Ryder Matos Santos,Carpi,440.93,7.0,4.22,4.96,7.0,7.0,7.18,7,4.9,6.23,12,27
Nicholas Williams Arthuer,Spain,493.93,7.0,4.12,4.85,7.0,7.0,7.33,6,5.5,6.22,55,282
Jamie Leweling,VfB Stuttgart,90.98,7.0,4.08,5.23,7.0,7.0,7.0,1,1.0,6.22,9,281
Youssef Msakni,Tunisia,174.98,7.0,4.15,5.2,7.0,7.0,7.0,2,1.9,6.22,43,106
Vincenzo Grifo,Freiburg,60.0,7.0,4.24,5.11,7.0,7.0,7.0,1,0.7,6.22,9,281
Andrea Cambiaso,Italy,67.93,7.0,4.84,4.45,7.0,7.0,7.0,2,0.8,6.22,55,282
Riccardo Saponara,Empoli,92.98,7.0,4.2,4.96,7.0,7.0,7.16,1,1.0,6.22,12,27
Vicente Iborra De La Fuente,Villarreal,92.98,7.0,4.0,4.45,7.0,7.0,7.89,1,1.0,6.22,11,4
Marcos Javier Acuña,Argentina,59.98,7.0,4.17,5.15,7.0,7.0,7.0,1,0.7,6.22,43,106
Jasmin Kurtič,Atalanta,537.9,7.0,4.14,4.82,7.0,7.0,7.35,7,6.0,6.22,12,27
Cody Mathès Gakpo,Netherlands,542.92,7.0,4.21,4.97,7.0,7.0,7.11,6,6.0,6.22,55,282
Luka Sučić,Croatia,69.0,7.0,4.06,4.6,7.0,7.0,7.65,1,0.8,6.22,55,282
Bruno Miguel Borges Fernandes,Portugal,377.93,7.0,4.09,5.07,7.0,7.0,7.18,4,4.2,6.22,43,106
Filip Đorđević,Lazio,99.8,7.0,4.34,4.77,7.0,7.0,7.22,2,1.1,6.22,12,27
Nicolas Pépé,OGC Nice,122.95,7.0,4.14,4.39,7.0,7.0,7.8,2,1.4,6.22,7,235
Riley McGree,Australia,127.0,7.0,4.21,4.65,7.0,7.0,7.44,2,1.4,6.22,43,106
Iago Falqué Silva,AS Roma,673.6,7.0,4.28,4.86,7.0,7.0,7.1,12,7.5,6.21,12,27
Marcel Sabitzer,Austria,382.92,7.0,4.1,5.02,7.0,7.0,7.17,4,4.3,6.21,55,282
Íñigo Lekue Martínez,Athletic Club,68.0,7.0,4.27,4.97,7.0,7.0,7.0,1,0.8,6.21,11,42
Martin Braithwaite Christensen,Barcelona,441.78,7.0,4.68,4.59,7.0,7.0,7.0,8,4.9,6.21,11,90
Marco Borriello,Carpi,92.98,7.0,4.19,4.76,7.0,7.0,7.32,1,1.0,6.21,12,27
Jakub Kamiński,Poland,66.0,7.0,4.0,5.28,7.0,7.0,7.0,1,0.7,6.21,43,106
Alessandro Frara,Frosinone,94.97,7.0,4.07,5.21,7.0,7.0,7.0,1,1.1,6.21,12,27
Florent Muslija,Freiburg,31.95,7.0,4.24,5.05,7.0,7.0,7.0,1,0.4,6.21,9,281
Youssef En-Nesyri,Morocco,93.98,7.0,4.0,4.78,7.0,7.0,7.48,1,1.0,6.21,43,106
Mikkel Damsgaard,Denmark,123.98,7.0,4.08,5.0,7.0,7.0,7.16,2,1.4,6.21,43,106
Xavi Simons,Netherlands,298.97,7.0,4.14,5.0,7.0,7.0,7.14,4,3.3,6.21,55,282
Antonio Candreva,Lazio,1987.73,7.0,4.08,5.09,7.0,7.0,7.09,27,22.1,6.21,12,27
Lovro Majer,Croatia,138.98,7.0,4.08,4.66,7.0,7.0,7.45,2,1.5,6.2,55,282
Thierry Henry,Arsenal,184.97,7.0,4.12,5.06,7.0,7.0,7.0,2,2.1,6.2,2,44
Matías Ariel Fernández Fernández,Fiorentina,194.95,7.0,4.15,4.98,7.0,7.0,7.08,3,2.2,6.2,12,27
Adam Hložek,Bayer Leverkusen,128.7,7.0,5.04,4.42,7.0,7.0,6.74,4,1.4,6.2,9,281
Seko Fofana,Lens,91.98,7.0,4.17,5.04,7.0,7.0,7.0,1,1.0,6.2,7,108
João Mário Naval da Costa Eduardo,Portugal,87.97,7.0,4.27,4.92,7.0,7.0,7.0,2,1.0,6.2,43,106
Moisés Gómez Bordonado,Villarreal,86.0,7.0,4.05,5.03,7.0,7.0,7.1,1,1.0,6.2,11,90
Leandro Greco,Hellas Verona,93.98,7.0,4.0,4.98,7.0,7.0,7.19,1,1.0,6.2,12,27
Raphael Dias Belloli,Brazil,260.95,7.0,4.31,4.91,7.0,7.0,6.96,4,2.9,6.2,43,106
Stevan Jovetić,Inter Milan,325.97,7.0,4.07,4.84,7.0,7.0,7.28,4,3.6,6.2,12,27
Philippe Coutinho Correia,Barcelona,1495.7,7.0,4.25,4.76,7.0,7.0,7.2,24,16.6,6.2,11,4
Joel Nathaniel Campbell Samuels,Costa Rica,287.93,7.0,4.01,4.86,7.0,7.0,7.34,3,3.2,6.2,43,106
Cristian Tello Herrera,Fiorentina,890.88,7.0,4.11,4.92,7.0,7.0,7.14,12,9.9,6.2,12,27
Amine Adli,Bayer Leverkusen,137.93,7.0,4.61,4.73,7.0,7.0,6.88,4,1.5,6.2,9,281
Brett Ormerod,Southampton,92.98,7.0,4.24,4.98,7.0,7.0,7.0,1,1.0,6.2,2,44
Mohamed Salah,AS Roma,2229.8,7.0,4.2,4.81,7.0,7.0,7.16,28,24.8,6.19,12,27
Bryan Mbeumo,Cameroon,156.0,7.0,4.16,5.01,7.0,7.0,7.0,2,1.7,6.19,43,106
Dennis Bergkamp,Arsenal,90.98,7.0,4.07,5.09,7.0,7.0,7.0,1,1.0,6.19,2,44
Saša Lukić,Serbia,86.0,7.0,4.0,5.01,7.0,7.0,7.16,1,1.0,6.19,55,282
Alassane Pléa,Borussia Mönchengladbach,93.98,7.0,4.05,5.09,7.0,7.0,7.0,1,1.0,6.19,9,281
Alejandro Grimaldo García,Bayer Leverkusen,182.98,7.0,4.14,4.9,7.0,7.0,7.1,2,2.0,6.19,9,281
Firas Tariq Nasser Al Albirakan,Saudi Arabia,191.95,7.0,4.0,5.13,7.0,7.0,7.0,2,2.1,6.19,43,106
Ousmane Dembélé,Barcelona,1339.75,7.0,4.18,4.86,7.0,7.0,7.08,21,14.9,6.19,11,4
Mikel Merino Zazón,Spain,19.95,7.0,4.16,5.0,7.0,7.0,7.0,1,0.2,6.19,55,282
Lorenzo Insigne,Napoli,2370.87,7.0,4.11,4.9,7.0,7.0,7.12,34,26.3,6.19,12,27
Roque Mesa Quevedo,Sevilla,28.98,7.0,4.0,5.16,7.0,7.0,7.0,1,0.3,6.19,11,4
Pedro Lomba Neto,Portugal,49.98,7.0,4.0,5.16,7.0,7.0,7.0,1,0.6,6.19,55,282
Antoine Griezmann,Barcelona,1261.75,7.0,4.06,4.63,7.0,7.0,7.38,16,14.0,6.18,11,42
Kylian Mbappé Lottin,Paris Saint-Germain,721.88,7.0,4.11,4.85,7.0,7.0,7.13,8,8.0,6.18,7,108
José María Callejón Bueno,Napoli,2730.73,7.0,4.08,4.64,7.0,7.0,7.36,36,30.3,6.18,12,27
Xherdan Shaqiri,Switzerland,232.98,7.0,4.09,4.99,7.0,7.0,7.0,3,2.6,6.18,43,106
Gelson Dany Batalha Martins,AS Monaco,81.0,7.0,4.18,4.59,7.0,7.0,7.31,1,0.9,6.18,7,108
Santiago Cazorla González,Villarreal,54.0,7.0,4.1,4.98,7.0,7.0,7.0,1,0.6,6.18,11,42
Giovanni Reyna,United States,49.98,7.0,4.23,4.83,7.0,7.0,7.0,1,0.6,6.18,43,106
Gerson Torres Barrantes,Costa Rica,64.0,7.0,4.0,4.31,7.0,7.0,7.74,1,0.7,6.18,43,106
Emiliano Ariel Rigoni,Elche,57.0,7.0,4.1,4.98,7.0,7.0,7.0,1,0.6,6.18,11,90
Jeremy Doku,Belgium,229.0,7.0,4.18,4.92,7.0,7.0,7.0,3,2.5,6.18,55,282
Vinícius José Paixão de Oliveira Júnior,Brazil,237.98,7.0,4.23,4.83,7.0,7.0,7.0,3,2.6,6.18,43,106
Elbasan Rashani,Clermont Foot,80.0,7.0,4.1,4.95,7.0,7.0,7.0,1,0.9,6.18,7,235
Bernardo Mota Veiga de Carvalho e Silva,Portugal,219.95,7.0,4.09,4.73,7.0,7.0,7.23,2,2.4,6.18,55,282
Steven Bergwijn,Netherlands,88.0,7.0,4.0,5.01,7.0,7.0,7.0,2,1.0,6.17,55,282
Bukayo Saka,England,418.97,7.0,4.08,4.7,7.0,7.0,7.22,5,4.7,6.17,55,282
Cole Palmer,England,76.95,7.0,4.0,5.01,7.0,7.0,7.0,2,0.9,6.17,55,282
Christian Dannemann Eriksen,Denmark,175.95,7.0,4.2,4.81,7.0,7.0,7.0,2,2.0,6.17,55,282
Andreas Skov Olsen,Denmark,67.0,7.0,4.07,4.93,7.0,7.0,7.0,1,0.7,6.17,43,106
Anis Ben Slimane,Tunisia,66.0,7.0,4.2,4.8,7.0,7.0,7.0,1,0.7,6.17,43,106
Darwin Gabriel Núñez Ribeiro,Uruguay,94.98,7.0,4.0,5.03,7.0,7.0,7.0,1,1.1,6.17,43,106
Jonas Hofmann,Bayer Leverkusen,511.92,7.0,4.21,4.67,7.0,7.0,7.09,9,5.7,6.16,9,281
Jonathan Bamba,Lille,180.98,7.0,4.02,4.64,7.0,7.0,7.32,2,2.0,6.16,7,235
Saman Ghoddos,Iran,49.98,7.0,4.11,4.84,7.0,7.0,7.0,1,0.6,6.16,43,106
Arthur Augusto de Matos Soares,Bayer Leverkusen,22.98,7.0,4.0,4.97,7.0,7.0,7.0,1,0.3,6.16,9,281
Nathan Tella,Bayer Leverkusen,336.82,7.0,4.28,4.58,7.0,7.0,7.12,6,3.7,6.16,9,281
Malcom Filipe Silva de Oliveira,Barcelona,389.85,7.0,4.6,4.53,7.0,7.0,6.82,9,4.3,6.16,11,4
Marcos Paulo Mesquita Lopes,Troyes,88.97,7.0,4.24,4.74,7.0,7.0,7.0,1,1.0,6.16,7,235
Dodi Lukebakio,Belgium,55.0,7.0,4.23,4.7,7.0,7.0,7.0,1,0.6,6.16,55,282
Daniel Olmo Carvajal,Spain,381.93,7.0,4.05,4.72,7.0,7.0,7.17,4,4.2,6.16,43,106
Mikel Oyarzabal Ugarte,Real Sociedad,93.98,7.0,4.0,4.38,7.0,7.0,7.58,1,1.0,6.16,11,4
Pablo Sarabia García,Paris Saint-Germain,157.95,7.0,4.38,4.56,7.0,7.0,7.0,3,1.8,6.16,7,235
Markel Susaeta Laskurain,Athletic Club,61.0,7.0,4.28,4.7,7.0,7.0,7.0,1,0.7,6.16,11,4
Noah Mbamba,Bayer Leverkusen,16.73,7.0,4.41,4.5,7.0,7.0,7.0,2,0.2,6.15,9,281
Sheraldo Becker,Union Berlin,63.0,7.0,4.07,4.8,7.0,7.0,7.0,1,0.7,6.15,9,281
Nedim Bajrami,Albania,69.0,7.0,4.0,4.9,7.0,7.0,7.0,1,0.8,6.15,55,282
Serge Gnabry,Germany,267.98,7.0,4.1,4.56,7.0,7.0,7.22,3,3.0,6.15,43,106
Carles Pérez Sayol,Barcelona,111.58,7.0,4.37,4.54,7.0,7.0,7.0,4,1.2,6.15,11,42
Gareth Frank Bale,Real Madrid,59.0,7.0,4.0,4.92,7.0,7.0,7.0,1,0.7,6.15,11,4
Raheem Sterling,England,144.83,7.0,4.2,4.71,7.0,7.0,7.0,3,1.6,6.15,43,106
Kai Havertz,Germany,94.98,7.0,4.08,4.8,7.0,7.0,7.0,1,1.1,6.15,55,282
Antonio Cassano,Sampdoria,55.0,7.0,4.08,4.83,7.0,7.0,7.0,1,0.6,6.15,12,27
Ilias Chair,Morocco,46.93,7.0,4.0,4.91,7.0,7.0,7.0,1,0.5,6.15,43,106
Leonardo Carrilho Baptistão,Espanyol,34.98,7.0,4.0,4.87,7.0,7.0,7.0,1,0.4,6.15,11,4
Florent Mollet,Montpellier,76.0,7.0,4.0,4.85,7.0,7.0,7.0,1,0.8,6.14,7,108
Sergi Roberto Carnicer,Barcelona,94.0,7.0,4.27,4.57,7.0,7.0,7.0,2,1.0,6.14,11,4
Alexis Mac Allister,Argentina,82.0,7.0,4.13,4.7,7.0,7.0,7.0,1,0.9,6.14,43,106
João Félix Sequeira,Portugal,336.98,7.0,4.04,4.8,7.0,7.0,7.0,4,3.7,6.14,43,106
Phil Foden,England,430.97,7.0,4.04,4.56,7.0,7.0,7.25,5,4.8,6.14,55,282
Yannick Ferreira Carrasco,Belgium,71.0,7.0,4.0,4.86,7.0,7.0,7.0,1,0.8,6.14,43,106
Nicolò Barella,Italy,90.98,7.0,4.02,4.73,7.0,7.0,7.0,1,1.0,6.13,55,282
Ricard Puig Martí,Barcelona,33.95,7.0,4.0,4.8,7.0,7.0,7.0,2,0.4,6.13,11,90
Carlos Soler Barragán,Paris Saint-Germain,69.88,7.0,4.38,4.37,7.0,7.0,7.0,2,0.8,6.13,7,235
Marco Asensio Willemsen,Spain,168.98,7.0,4.03,4.75,7.0,7.0,7.0,3,1.9,6.13,43,106
Antony Matheus dos Santos,Brazil,95.98,7.0,4.07,4.69,7.0,7.0,7.0,2,1.1,6.13,43,106
Fabián Ariel Orellana Valenzuela,Eibar,91.98,7.0,4.05,4.7,7.0,7.0,7.0,1,1.0,6.13,11,4
Memphis Depay,Netherlands,91.98,7.0,4.32,4.45,7.0,7.0,7.0,1,1.0,6.13,55,282
Facundo Pellistri Rebollo,Uruguay,85.0,7.0,4.12,4.64,7.0,7.0,7.0,1,0.9,6.13,43,106
Ludovic Blas,Nantes,82.0,7.0,4.06,4.75,7.0,7.0,7.0,1,0.9,6.13,7,235
Arturo Erasmo Vidal Pardo,Barcelona,128.97,7.0,4.06,4.58,7.0,7.0,7.09,2,1.4,6.12,11,42
Joan Verdú Fernández,Fiorentina,70.9,7.0,4.16,4.58,7.0,7.0,7.0,2,0.8,6.12,12,27
Daniel James,Wales,76.0,7.0,4.0,4.71,7.0,7.0,7.0,1,0.8,6.12,43,106
Timothy Weah,United States,233.0,7.0,4.11,4.62,7.0,7.0,7.0,3,2.6,6.12,43,106
Ross Barkley,OGC Nice,60.0,7.0,4.0,4.71,7.0,7.0,7.0,1,0.7,6.12,7,235
Takashi Inui,Eibar,65.0,7.0,4.0,4.71,7.0,7.0,7.0,1,0.7,6.12,11,42
Francisco Fernandes Conceição,Portugal,42.97,7.0,4.09,4.64,7.0,7.0,7.0,1,0.5,6.12,55,282
Giuseppe Rossi,Fiorentina,62.0,7.0,4.0,4.66,7.0,7.0,7.0,1,0.7,6.11,12,27
Saúl Ñíguez Esclapez,Atlético Madrid,53.0,7.0,4.0,4.65,7.0,7.0,7.0,1,0.6,6.11,11,90
Khouma El Hadji Babacar,Fiorentina,92.98,7.0,4.08,4.56,7.0,7.0,7.0,1,1.0,6.11,12,27
Gerson Santos da Silva,Marseille,93.98,7.0,4.0,4.63,7.0,7.0,7.0,1,1.0,6.11,7,108
Mattéo Guendouzi Olié,France,68.0,7.0,4.0,4.66,7.0,7.0,7.0,1,0.8,6.11,43,106
Fredrik Ljungberg,Arsenal,68.0,7.0,4.0,4.68,7.0,7.0,7.0,1,0.8,6.11,2,44
Andrej Kramarić,Croatia,261.0,7.0,4.07,4.57,7.0,7.0,7.0,4,2.9,6.11,43,106
Jim Allevinah,Clermont Foot,71.0,7.0,4.0,4.66,7.0,7.0,7.0,1,0.8,6.11,7,235
Taulant Sulejmanov,Albania,66.0,7.0,4.0,4.65,7.0,7.0,7.0,1,0.7,6.11,55,282
Fidel Chaves de la Torre,Elche,32.95,7.0,4.0,4.68,7.0,7.0,7.0,1,0.4,6.11,11,90
Denzel Dumfries,Netherlands,94.98,7.0,4.0,4.67,7.0,7.0,7.0,1,1.1,6.11,55,282
Chang-Hoon Kwon,South Korea,53.0,7.0,4.1,4.55,7.0,7.0,7.0,1,0.6,6.11,43,106
Philip Foden,England,240.98,7.0,4.12,4.56,7.0,7.0,7.0,3,2.7,6.11,43,106
Ferrán Torres García,Spain,223.98,7.0,4.03,4.54,7.0,7.0,7.0,4,2.5,6.09,43,106
Jonas Older Wind,Denmark,56.0,7.0,4.23,4.32,7.0,7.0,7.0,1,0.6,6.09,55,282
Viktor Tsygankov,Ukraine,62.0,7.0,4.0,4.51,7.0,7.0,7.0,1,0.7,6.09,55,282
Radja Nainggolan,AS Roma,92.98,7.0,4.0,4.54,7.0,7.0,7.0,1,1.0,6.09,12,27
Joaquín Sánchez Rodríguez,Real Betis,61.0,7.0,4.0,4.5,7.0,7.0,7.0,1,0.7,6.08,11,90
Sergio Busquets i Burgos,Barcelona,25.97,7.0,4.0,4.48,7.0,7.0,7.0,1,0.3,6.08,11,90
Julián Álvarez,Argentina,149.0,7.0,4.0,4.42,7.0,7.0,6.96,2,1.7,6.06,43,106
