midfielder,minutes_played,pass_control,ball_progression,defensive_contribution,creative_output,matches_played,team,competition_id,season_id,avg_minutes_per_match,full_match_equivalent,composite_score
Adam Hložek,410,7.94,9.34,8.29,7.78,11,Bayer Leverkusen,9,281,37.3,4.6,8.3375
Danilo Soddimo,1695,7.03,8.07,9.05,9.02,25,Frosinone,12,27,67.8,18.8,8.2925
Daniele Croce,1816,8.73,8.91,8.62,6.81,28,Empoli,12,27,64.9,20.2,8.2675
Keita Baldé Diao,342,7.74,9.75,5.96,9.51,7,Lazio,12,27,48.9,3.8,8.24
Carlos Joaquín Correa,1130,9.54,9.16,6.37,7.88,20,Sampdoria,12,27,56.5,12.6,8.2375
Artur Ioniţă,2421,8.89,8.7,7.98,7.35,31,Hellas Verona,12,27,78.1,26.9,8.23
Borja Valero Iglesias,3016,9.58,7.43,8.03,7.88,34,Fiorentina,12,27,88.7,33.5,8.23
Fredrik Ljungberg,2201,9.06,9.15,8.7,6.0,29,Arsenal,2,44,75.9,24.5,8.2275
Antonio Candreva,518,8.83,9.5,7.2,7.37,6,Lazio,12,27,86.3,5.8,8.225
Paul Pogba,3071,9.26,7.82,8.35,7.46,35,Juventus,12,27,87.7,34.1,8.2225
Tomás Eduardo Rincón Hernández,2889,9.46,7.55,8.81,7.03,32,Genoa,12,27,90.3,32.1,8.2125
Blerim Džemaili,1783,8.95,8.54,7.31,8.05,27,Genoa,12,27,66.0,19.8,8.212499999999999
Mohamed Youcef Belaïli,82,5.59,8.56,9.52,9.15,1,AC Ajaccio,7,235,82.0,0.9,8.205
Adem Ljajić,1209,9.07,8.94,5.48,9.29,18,Inter Milan,12,27,67.2,13.4,8.195
Sofyan Amrabat,676,9.53,8.93,9.47,4.76,7,Morocco,43,106,96.6,7.5,8.1725
Karim Ansarifard,30,8.43,9.61,4.63,9.95,1,Iran,43,106,30.0,0.3,8.155
Robin Quaison,1020,7.17,8.66,7.73,8.99,19,Palermo,12,27,53.7,11.3,8.137500000000001
Gonzalo Jordy Plata Jiménez,276,8.19,8.36,9.49,6.49,3,Ecuador,43,106,92.0,3.1,8.1325
Dušan Tadić,261,8.02,8.22,6.73,9.55,3,Serbia,43,106,87.0,2.9,8.13
Ousmane Dembélé,450,7.95,9.31,8.14,7.09,8,Barcelona,11,4,56.2,5.0,8.1225
Emanuele Giaccherini,887,8.11,8.37,7.33,8.64,11,Bologna,12,27,80.6,9.9,8.112499999999999
Juraj Kucka,2209,8.3,8.48,8.16,7.5,30,Genoa,12,27,73.6,24.5,8.11
Alessandro Piu,36,8.43,9.61,5.05,9.33,1,Empoli,12,27,36.0,0.4,8.105
Simone Verdi,260,5.34,8.97,8.24,9.84,7,Carpi,12,27,37.1,2.9,8.0975
Warren Zaire Emery,373,7.79,8.68,8.43,7.47,16,Paris Saint-Germain,7,235,23.3,4.1,8.0925
Manuel Pucciarelli,732,8.29,5.68,9.5,8.88,8,Empoli,12,27,91.5,8.1,8.0875
Federico Dionisi,765,8.15,8.09,7.0,9.09,11,Frosinone,12,27,69.5,8.5,8.0825
Paweł Wszołek,1475,7.29,9.67,6.39,8.96,21,Sampdoria,12,27,70.2,16.4,8.0775
Keisuke Honda,1924,8.31,6.88,8.38,8.65,26,AC Milan,12,27,74.0,21.4,8.055
Rafael Alexandre Conceição Leão,103,4.57,9.55,9.62,8.46,1,Portugal,55,282,103.0,1.1,8.05
Emmanuel Agyemang-Badu,2699,8.75,8.66,8.05,6.74,33,Udinese,12,27,81.8,30.0,8.05
Luca Rizzo,777,8.57,9.29,6.61,7.72,11,Bologna,12,27,70.6,8.6,8.0475
Andrea Bertolacci,1813,9.25,6.33,8.36,8.21,26,AC Milan,12,27,69.7,20.1,8.0375
Marek Hamšík,3266,9.55,7.48,7.57,7.55,38,Napoli,12,27,85.9,36.3,8.0375
Jules Olivier Ntcham,884,9.34,7.68,7.91,7.19,15,Genoa,12,27,58.9,9.8,8.03
Timi Elšnik,358,9.08,8.96,7.48,6.58,4,Slovenia,55,282,89.5,4.0,8.025
Marco Antônio De Mattos Filho,470,8.77,8.29,7.33,7.68,11,Udinese,12,27,42.7,5.2,8.0175
Simone Pepe,727,6.83,8.5,7.72,8.87,20,Chievo,12,27,36.4,8.1,7.98
Eder Citadin Martins,1002,8.03,9.16,6.55,8.14,11,Sampdoria,12,27,91.1,11.1,7.97
Kamaldeen Sulemana,96,5.07,8.92,9.32,8.55,1,Rennes,7,108,96.0,1.1,7.965000000000001
Ryder Matos Santos,1100,6.41,9.53,7.8,8.12,16,Carpi,12,27,68.8,12.2,7.965
Yussif Raman Chibsah,1168,7.62,8.87,7.47,7.9,22,Frosinone,12,27,53.1,13.0,7.965
Luis Gerardo Chávez Magallón,285,8.73,6.5,8.99,7.62,3,Mexico,43,106,95.0,3.2,7.96
Omar El Kaddouri,64,4.64,8.35,9.18,9.66,4,Napoli,12,27,16.0,0.7,7.9575
Riccardo Saponara,2657,8.05,8.28,6.23,9.27,33,Empoli,12,27,80.5,29.5,7.9575
Jude Bellingham,674,9.66,7.4,8.4,6.35,7,England,55,282,96.3,7.5,7.952500000000001
Oliver Kragl,594,7.66,8.05,8.33,7.77,9,Frosinone,12,27,66.0,6.6,7.9525
Alex Sandro Lobo Silva,395,7.98,9.82,6.28,7.71,8,Juventus,12,27,49.4,4.4,7.947500000000001
Jonathan Ludovic Biabiany,510,8.01,9.55,5.98,8.23,10,Inter Milan,12,27,51.0,5.7,7.942500000000001
Bernardo Mota Veiga de Carvalho e Silva,370,9.38,9.36,7.45,5.57,5,Portugal,43,106,74.0,4.1,7.94
Piotr Zieliński,3070,9.05,7.73,7.22,7.7,35,Empoli,12,27,87.7,34.1,7.925
Jacopo Sala,916,7.14,9.27,9.29,5.96,12,Hellas Verona,12,27,76.3,10.2,7.915
Aleksandar Tonev,593,6.48,9.41,6.06,9.7,13,Frosinone,12,27,45.6,6.6,7.9125
Pablo Hervías Ruiz,88,4.03,9.2,8.89,9.5,2,Real Valladolid,11,42,44.0,1.0,7.905
Mykhailo Mudryk,176,4.21,8.72,8.92,9.76,2,Ukraine,55,282,88.0,2.0,7.9025
Saeid Ezatolahi Afagh,227,8.6,5.79,8.31,8.8,3,Iran,43,106,75.7,2.5,7.875000000000001
Darko Lazović,322,5.46,9.04,8.63,8.35,6,Genoa,12,27,53.7,3.6,7.870000000000001
Mateo Kovačić,642,9.82,7.41,7.43,6.81,7,Croatia,43,106,91.7,7.1,7.8675
Salem Mohammed Al Dawsari,292,8.93,7.49,5.94,9.09,3,Saudi Arabia,43,106,97.3,3.2,7.862500000000001
Franco Brienza,1468,8.6,7.44,6.59,8.82,24,Bologna,12,27,61.2,16.3,7.8625
Massimiliano Carlini,352,4.93,9.06,8.07,9.38,11,Frosinone,12,27,32.0,3.9,7.860000000000001
Marco Benassi,1911,8.61,8.12,6.71,8.0,31,Torino,12,27,61.6,21.2,7.859999999999999
Josip Iličić,1919,8.66,7.46,6.64,8.66,30,Fiorentina,12,27,64.0,21.3,7.855
Lukáš Provod,231,8.9,8.99,5.92,7.59,3,Czech Republic,55,282,77.0,2.6,7.8500000000000005
Alexis Mac Allister,546,9.75,6.89,7.11,7.57,6,Argentina,43,106,91.0,6.1,7.83
Wallace Oliveira dos Santos,37,3.9,9.8,8.82,8.76,2,Carpi,12,27,18.5,0.4,7.82
Ante Rebić,257,4.26,9.52,8.4,9.1,5,Hellas Verona,12,27,51.4,2.9,7.82
Carlos Mario Carbonero Mancilla,832,8.96,5.65,9.21,7.45,10,Sampdoria,12,27,83.2,9.2,7.8175
Antonio Di Gaudio,1267,7.18,9.51,6.25,8.3,23,Carpi,12,27,55.1,14.1,7.81
Andrea Lazzari,345,8.72,3.24,9.33,9.92,8,Carpi,12,27,43.1,3.8,7.8025
Kevin Lasagna,723,5.79,8.97,7.32,9.12,19,Carpi,12,27,38.1,8.0,7.800000000000001
Panagiotis Giorgios Kone,243,8.59,8.71,5.98,7.87,6,Udinese,12,27,40.5,2.7,7.7875000000000005
Alessio Cerci,417,6.24,9.82,5.65,9.42,7,AC Milan,12,27,59.6,4.6,7.782500000000001
Allan Marques Loureiro,2856,9.14,6.2,9.18,6.61,35,Napoli,12,27,81.6,31.7,7.7825
Matías Ariel Fernández Fernández,1047,9.03,8.16,6.61,7.33,20,Fiorentina,12,27,52.4,11.6,7.782499999999999
Petar Stojanović,315,7.85,9.47,6.51,7.29,4,Slovenia,55,282,78.8,3.5,7.779999999999999
Dimitri Payet,93,4.74,7.84,9.67,8.86,1,Marseille,7,108,93.0,1.0,7.7775
Kacper Urbanski,100,8.23,6.9,9.06,6.89,2,Poland,55,282,50.0,1.1,7.7700000000000005
Bruno Miguel Borges Fernandes,1899,8.27,7.5,6.95,8.31,28,Udinese,12,27,67.8,21.1,7.7575
Roberto Soriano,2817,9.19,8.22,7.57,6.02,36,Sampdoria,12,27,78.2,31.3,7.75
Maximiliano Nicol Moralez,464,8.7,5.59,8.11,8.59,6,Atalanta,12,27,77.3,5.2,7.7475
Radja Nainggolan,2958,9.48,6.19,8.3,7.01,35,AS Roma,12,27,84.5,32.9,7.745000000000001
Robert Navarro Muñoz,37,4.45,9.02,9.7,7.81,1,Real Sociedad,11,90,37.0,0.4,7.744999999999999
Robert Gucher,1368,8.14,6.24,8.23,8.37,24,Frosinone,12,27,57.0,15.2,7.744999999999999
Fabian Rieder,206,3.19,9.25,9.27,9.25,4,Switzerland,55,282,51.5,2.3,7.74
Kristjan Asllani,285,9.22,4.32,8.84,8.57,3,Albania,55,282,95.0,3.2,7.737500000000001
Jeremy Leonel Sarmiento Morante,91,4.3,9.05,9.24,8.35,3,Ecuador,43,106,30.3,1.0,7.735000000000001
Sofiane Diop,64,6.35,8.29,8.7,7.4,1,AS Monaco,7,108,64.0,0.7,7.684999999999999
Santiago Cáseres,121,7.94,5.64,7.54,9.61,2,Villarreal,11,4,60.5,1.3,7.6825
Frenkie de Jong,2901,9.88,7.77,6.33,6.74,33,Barcelona,11,90,87.9,32.2,7.68
Paul-José M''Poku Ebunge,460,7.84,8.88,5.48,8.51,11,Chievo,12,27,41.8,5.1,7.6775
Valter Birsa,2213,7.51,8.02,6.29,8.86,33,Chievo,12,27,67.1,24.6,7.67
Alessandro Diamanti,571,7.0,6.2,7.95,9.51,11,Atalanta,12,27,51.9,6.3,7.664999999999999
Gastón Brugman,999,9.23,7.79,6.59,7.02,14,Palermo,12,27,71.4,11.1,7.6575
Raphael Martinho Alves de Lima,666,6.17,9.44,9.29,5.72,10,Carpi,12,27,66.6,7.4,7.654999999999999
Leandro Greco,1819,9.12,6.57,8.21,6.7,25,Hellas Verona,12,27,72.8,20.2,7.6499999999999995
Luis Jesús Rioja González,114,6.66,8.59,7.17,8.09,2,Deportivo Alavés,11,90,57.0,1.3,7.6275
Anthony Mounier,626,7.32,8.33,8.1,6.76,9,Bologna,12,27,69.6,7.0,7.6274999999999995
N'Golo Kanté,519,9.79,6.7,6.19,7.77,6,France,55,282,86.5,5.8,7.6125
Simone Missiroli,1865,8.62,7.46,8.36,5.97,24,Sassuolo,12,27,77.7,20.7,7.602499999999999
Yunus Dimoara Musah,351,9.49,8.88,5.83,6.2,4,United States,43,106,87.8,3.9,7.6000000000000005
Joseph Alfred Duncan,2537,7.59,6.83,7.58,8.4,33,Sassuolo,12,27,76.9,28.2,7.6
Matteo Fedele,569,8.06,5.81,8.27,8.25,8,Carpi,12,27,71.1,6.3,7.5975
Maxence Caqueret,104,7.37,6.29,9.3,7.38,2,Lyon,7,235,52.0,1.2,7.585
Enner Remberto Valencia Lastra,89,4.49,6.42,9.85,9.54,1,Ecuador,43,106,89.0,1.0,7.574999999999999
Alejandro Grimaldo García,652,8.59,4.65,8.35,8.68,7,Bayer Leverkusen,9,281,93.1,7.2,7.5675
Lucas Rodrigo Biglia,2359,9.45,5.61,7.99,7.21,27,Lazio,12,27,87.4,26.2,7.5649999999999995
Ricardo Gabriel Álvarez,684,8.9,8.35,5.55,7.44,11,Sampdoria,12,27,62.2,7.6,7.5600000000000005
Alessandro Florenzi,934,8.92,7.39,7.28,6.64,11,AS Roma,12,27,84.9,10.4,7.5575
Azzedine Ounahi,579,9.62,7.27,5.46,7.85,7,Morocco,43,106,82.7,6.4,7.550000000000001
Marco D''Alessandro,274,6.05,9.1,5.78,9.27,6,Atalanta,12,27,45.7,3.0,7.55
Finn Ole Becker,77,5.9,8.18,9.94,6.16,1,Hoffenheim,9,281,77.0,0.9,7.545
Perparim Hetemaj,2299,8.2,7.25,8.72,5.99,28,Chievo,12,27,82.1,25.5,7.540000000000001
Philippe Coutinho Correia,649,9.6,6.71,6.55,7.3,10,Barcelona,11,4,64.9,7.2,7.54
Dennis Bergkamp,329,8.24,4.96,9.34,7.62,6,Arsenal,2,44,54.8,3.7,7.54
Marcelo Brozović,2447,9.2,5.68,8.11,7.15,32,Inter Milan,12,27,76.5,27.2,7.535
Christoph Baumgartner,301,8.01,9.57,3.37,9.18,4,Austria,55,282,75.2,3.3,7.5325
Kwadwo Asamoah,561,9.16,5.46,6.63,8.83,11,Juventus,12,27,51.0,6.2,7.52
Alexis Flips,74,4.63,7.0,8.75,9.7,1,Stade de Reims,7,235,74.0,0.8,7.52
Bukayo Saka,92,1.87,9.11,9.73,9.33,1,England,55,282,92.0,1.0,7.51
Iago Falqué Silva,497,9.0,5.98,8.41,6.63,10,AS Roma,12,27,49.7,5.5,7.505
Pablo Martín Páez Gavira,292,9.75,6.81,6.35,7.09,4,Spain,43,106,73.0,3.2,7.499999999999999
Luca Paganini,1582,6.98,8.99,6.4,7.61,21,Frosinone,12,27,75.3,17.6,7.495
Lorenzo Pellegrini,1161,8.74,6.79,6.53,7.87,19,Sassuolo,12,27,61.1,12.9,7.482500000000001
Djibril Sow,260,9.78,9.03,3.95,7.16,4,Switzerland,43,106,65.0,2.9,7.4799999999999995
Federico Bernardeschi,768,9.05,7.05,6.24,7.56,12,Fiorentina,12,27,64.0,8.5,7.4750000000000005
Fernando Lucas Martins,3034,9.42,4.93,8.25,7.29,35,Sampdoria,12,27,86.7,33.7,7.4725
Dávid Ivan,792,8.57,8.03,7.4,5.82,15,Sampdoria,12,27,52.8,8.8,7.455
Ivan Perišić,1799,8.18,8.64,6.5,6.48,24,Inter Milan,12,27,75.0,20.0,7.45
Fredy Alejandro Guarín Vásquez,968,8.31,6.85,7.01,7.63,15,Inter Milan,12,27,64.5,10.8,7.45
Jim Allevinah,25,8.43,9.61,9.69,2.07,1,Clermont Foot,7,108,25.0,0.3,7.449999999999999
Emil Hallfreðsson,1895,7.3,7.75,7.7,7.03,27,Hellas Verona,12,27,70.2,21.1,7.445
Cyril Théréau,733,7.28,8.2,6.1,8.2,9,Udinese,12,27,81.4,8.1,7.444999999999999
Amine Adli,657,7.26,7.83,5.36,9.3,15,Bayer Leverkusen,9,281,43.8,7.3,7.4375
Max Finkgräfe,90,3.78,9.61,9.38,6.97,1,FC Köln,9,281,90.0,1.0,7.435
Hirving Rodrigo Lozano Bahena,96,1.62,8.32,9.92,9.87,1,Mexico,43,106,96.0,1.1,7.432499999999999
Mohamed Salah,502,8.76,6.82,5.86,8.28,6,AS Roma,12,27,83.7,5.6,7.43
Aïssa Bilal Laïdouni,249,7.63,6.09,8.33,7.64,3,Tunisia,43,106,83.0,2.8,7.422499999999999
Dan Ndoye,321,7.34,9.53,6.34,6.47,4,Switzerland,55,282,80.2,3.6,7.419999999999999
Taulant Sulejmanov,34,1.62,8.41,9.89,9.67,1,Albania,55,282,34.0,0.4,7.397500000000001
Lucas Nahuel Castro,2824,8.04,6.66,7.96,6.93,34,Chievo,12,27,83.1,31.4,7.3975
Matías Vecino Falero,2454,9.64,5.84,8.01,6.07,30,Fiorentina,12,27,81.8,27.3,7.390000000000001
Rodrigo Sebastián Palacio,632,6.37,7.63,6.58,8.97,10,Inter Milan,12,27,63.2,7.0,7.387499999999999
Alessandro Gazzi,1008,9.58,5.07,6.18,8.69,15,Torino,12,27,67.2,11.2,7.379999999999999
Mehdi Taremi,197,7.14,9.42,3.25,9.69,2,Iran,43,106,98.5,2.2,7.375
Rodrigo Bentancur Colmán,224,8.67,6.92,9.27,4.64,3,Uruguay,43,106,74.7,2.5,7.375
Valon Berisha,50,4.47,7.13,8.15,9.73,1,Stade de Reims,7,108,50.0,0.6,7.37
Nicolas Seiwald,379,9.7,4.13,8.42,7.18,4,Austria,55,282,94.8,4.2,7.3575
Geoffrey Kondogbia,2034,9.65,7.53,7.01,5.22,25,Inter Milan,12,27,81.4,22.6,7.352499999999999
Alberto Perea Correoso,155,4.98,8.7,9.01,6.68,2,Cádiz,11,90,77.5,1.7,7.342499999999999
M''Baye Babacar Niang,310,7.6,8.9,6.07,6.71,5,AC Milan,12,27,62.0,3.4,7.32
Weston McKennie,269,9.45,8.92,4.28,6.63,4,United States,43,106,67.2,3.0,7.319999999999999
Marco Crimi,1040,7.39,6.35,8.45,7.08,20,Bologna,12,27,52.0,11.6,7.317499999999999
Mattia De Sciglio,66,6.46,6.86,8.69,7.25,1,AC Milan,12,27,66.0,0.7,7.3149999999999995
Mouhamadou Diarra,90,7.87,9.3,2.26,9.77,1,Strasbourg,7,235,90.0,1.0,7.3
Sergej Milinković-Savić,1678,7.33,8.07,7.35,6.44,25,Lazio,12,27,67.1,18.6,7.2975
Sergi Roberto Carnicer,1037,9.81,7.02,5.4,6.94,13,Barcelona,11,42,79.8,11.5,7.2924999999999995
Gabriel Moisés Antunes da Silva,391,6.58,9.68,7.36,5.55,7,Carpi,12,27,55.9,4.3,7.2924999999999995
Enzo Maresca,999,9.32,6.52,7.94,5.37,15,Palermo,12,27,66.6,11.1,7.2875000000000005
José Mauri,246,9.67,4.45,8.03,7.0,5,AC Milan,12,27,49.2,2.7,7.2875
Luca Marrone,1606,9.21,4.27,8.27,7.37,21,Carpi,12,27,76.5,17.8,7.28
Jarrod Bowen,18,6.92,7.13,5.22,9.82,1,England,55,282,18.0,0.2,7.2725
Moriba Kourouma Kourouma,485,9.63,6.81,6.77,5.87,12,Barcelona,11,90,40.4,5.4,7.2700000000000005
Luca Cigarini,1839,8.86,4.76,8.26,7.2,25,Atalanta,12,27,73.6,20.4,7.27
Vincent Paté Aboubakar,38,5.9,8.8,4.99,9.36,1,Cameroon,43,106,38.0,0.4,7.2625
Daniele De Rossi,1426,9.76,6.72,7.56,5.01,17,AS Roma,12,27,83.9,15.8,7.262499999999999
Facundo Pellistri Rebollo,185,5.22,6.72,7.83,9.23,3,Uruguay,43,106,61.7,2.1,7.25
Iván Alejo Peralta,48,0.27,9.94,9.16,9.61,2,Cádiz,11,90,24.0,0.5,7.244999999999999
Stevan Jovetić,512,7.98,4.87,7.89,8.22,9,Inter Milan,12,27,56.9,5.7,7.24
Ethan Ampadu,262,8.28,8.24,6.15,6.29,3,Wales,43,106,87.3,2.9,7.24
Miralem Pjanić,2705,9.1,5.91,5.89,8.02,33,AS Roma,12,27,82.0,30.1,7.2299999999999995
Pedro González López,2173,9.68,4.74,7.99,6.5,33,Barcelona,11,90,65.8,24.1,7.2275
Jordan Brian Henderson,273,8.97,4.01,9.26,6.65,4,England,43,106,68.2,3.0,7.2225
Manuel Rolando Iturra Urrutia,1018,8.16,5.48,8.79,6.46,17,Udinese,12,27,59.9,11.3,7.2225
Luka Modrić,659,9.55,6.96,7.03,5.34,7,Croatia,43,106,94.1,7.3,7.220000000000001
Saphir Sliti Taïder,2133,9.11,6.68,7.13,5.96,29,Bologna,12,27,73.6,23.7,7.22
Patrik Berger,34,7.44,7.13,4.8,9.47,1,Portsmouth,2,44,34.0,0.4,7.210000000000001
Jesús Joaquín Fernández Sáez de la Torre,582,7.77,5.9,6.16,8.98,9,AC Milan,12,27,64.7,6.5,7.2025
Erick Antonio Pulgar Farfán,701,9.53,8.33,6.35,4.59,13,Bologna,12,27,53.9,7.8,7.2
Steve McManaman,18,5.9,8.8,4.19,9.9,1,Manchester City,2,44,18.0,0.2,7.1975
Lorenzo Pasciuti,1272,6.42,5.87,8.37,8.13,16,Carpi,12,27,79.5,14.1,7.1975
Rodrigo Javier De Paul,625,9.15,6.69,7.37,5.55,7,Argentina,43,106,89.3,6.9,7.19
Mathew Leckie,339,6.34,7.53,9.28,5.6,4,Australia,43,106,84.8,3.8,7.1875
Leroy Sané,93,6.27,4.59,8.66,9.2,1,Germany,43,106,93.0,1.0,7.18
Marcel Büchel,1583,8.58,5.47,8.01,6.61,28,Empoli,12,27,56.5,17.6,7.1675
Oscar Hiljemark,2913,8.55,6.08,6.26,7.76,38,Palermo,12,27,76.7,32.4,7.1625
Ruben Vargas,230,4.72,7.27,8.46,8.18,4,Switzerland,55,282,57.5,2.6,7.1575
Denis Cheryshev,170,4.48,7.87,9.48,6.78,2,Valencia,11,4,85.0,1.9,7.152500000000001
Arthur Henrique Ramos de Oliveira Melo,1202,9.97,4.89,8.13,5.61,23,Barcelona,11,4,52.3,13.4,7.15
Guilherme dos Santos Torres,336,8.1,5.06,8.44,6.99,5,Udinese,12,27,67.2,3.7,7.147500000000001
Lucas Tolentino Coelho de Lima,315,9.66,2.13,9.25,7.55,4,Brazil,43,106,78.8,3.5,7.1475
Ylber Ramadani,271,9.9,4.64,9.35,4.69,3,Albania,55,282,90.3,3.0,7.1450000000000005
Robert Kenedy Nunes do Nascimento,39,8.43,7.13,3.2,9.82,1,Getafe,11,42,39.0,0.4,7.145
Jonas Hofmann,1720,9.18,5.18,5.47,8.72,24,Bayer Leverkusen,9,281,71.7,19.1,7.137499999999999
Diego Sebastián Laxalt Suárez,927,8.22,7.74,7.98,4.6,10,Genoa,12,27,92.7,10.3,7.135
Nicola Sansone,934,7.38,6.99,5.78,8.38,12,Sassuolo,12,27,77.8,10.4,7.1325
Giorgi Chakvetadze,212,6.22,8.72,7.74,5.84,3,Georgia,55,282,70.7,2.4,7.13
Franck Honorat,94,4.41,6.42,9.65,8.04,1,Stade Brestois,7,235,94.0,1.0,7.13
Rade Krunić,499,6.74,6.97,6.09,8.7,14,Empoli,12,27,35.6,5.5,7.125
Luis Milla Manzanares,45,7.23,3.53,9.77,7.95,1,Granada,11,90,45.0,0.5,7.12
Calvin Stengs,32,5.6,9.69,4.7,8.46,2,OGC Nice,7,108,16.0,0.4,7.1125
Federico Viviani,1637,9.1,4.98,6.3,8.06,19,Hellas Verona,12,27,86.2,18.2,7.109999999999999
Grischa Prömel,130,7.01,8.31,4.04,9.08,2,Hoffenheim,9,281,65.0,1.4,7.109999999999999
Giorgi Kochorashvili,373,9.96,3.6,9.99,4.85,4,Georgia,55,282,93.2,4.1,7.1
Marcos Javier Acuña,59,2.45,7.13,9.75,9.06,1,Argentina,43,106,59.0,0.7,7.0975
William Vainqueur,618,9.64,3.85,5.67,9.23,15,AS Roma,12,27,41.2,6.9,7.0975
Carlos Uriel Antuna Romero,50,1.62,7.13,9.91,9.73,1,Mexico,43,106,50.0,0.6,7.0975
Arbër Zeneli,18,1.99,7.7,9.63,9.06,1,Stade de Reims,7,235,18.0,0.2,7.095000000000001
Thomas Gravesen,93,6.81,4.81,9.79,6.97,1,Everton,2,44,93.0,1.0,7.094999999999999
Mirko Gori,2195,8.12,7.03,8.04,5.18,28,Frosinone,12,27,78.4,24.4,7.092499999999999
Danilo Cataldi,1355,9.03,5.83,6.52,6.96,20,Lazio,12,27,67.8,15.1,7.085
Thomas Müller,90,8.22,6.98,5.68,7.43,2,Bayern Munich,9,281,45.0,1.0,7.077500000000001
Flavien Tait,85,7.5,9.42,3.04,8.34,1,Rennes,7,108,85.0,0.9,7.075
Darren Anderton,96,0.73,8.8,9.83,8.91,1,Tottenham Hotspur,2,44,96.0,1.1,7.0675
Matteo Politano,214,6.02,8.55,6.54,7.1,6,Sassuolo,12,27,35.7,2.4,7.0525
Paolo Sammarco,2357,8.29,5.19,8.22,6.5,28,Frosinone,12,27,84.2,26.2,7.050000000000001
Leandro Daniel Paredes,2523,8.96,4.5,7.88,6.86,33,Empoli,12,27,76.5,28.0,7.05
Kobbie Mainoo,376,9.8,3.81,8.83,5.7,6,England,55,282,62.7,4.2,7.035
Lorenzo Insigne,434,8.25,5.59,5.72,8.58,6,Napoli,12,27,72.3,4.8,7.035
Eduardo César Daude Gaspar,1492,8.88,6.18,5.63,7.44,30,Arsenal,2,44,49.7,16.6,7.032500000000001
Jasmin Kurtič,2222,8.21,6.85,7.26,5.81,30,Atalanta,12,27,74.1,24.7,7.0325
Mislav Oršić,10,2.81,9.88,5.43,9.99,1,Croatia,43,106,10.0,0.1,7.0275
David Bentley,60,7.36,7.77,7.19,5.78,1,Arsenal,2,44,60.0,0.7,7.025
Remo Freuler,448,9.72,4.07,9.31,5.0,5,Switzerland,55,282,89.6,5.0,7.025
Himad Abdelli,152,7.48,7.35,7.41,5.85,2,Angers,7,235,76.0,1.7,7.022500000000001
Marco Verratti,1830,9.89,4.65,8.32,5.21,24,Paris Saint-Germain,7,235,76.2,20.3,7.0175
Juan Ignacio Gómez Taleb,797,6.33,7.29,5.9,8.52,15,Hellas Verona,12,27,53.1,8.9,7.010000000000001
Stefano Sturaro,1031,7.71,5.82,8.2,6.26,19,Juventus,12,27,54.3,11.5,6.9975000000000005
Álvaro García Rivera,77,4.96,6.76,8.5,7.74,1,Rayo Vallecano,11,4,77.0,0.9,6.99
Grzegorz Krychowiak,336,8.26,4.89,8.25,6.55,4,Poland,43,106,84.0,3.7,6.9875
Orkun Kökçü,231,6.4,7.64,7.62,6.28,4,Turkey,55,282,57.8,2.6,6.985
Edenílson Andrade dos Santos,501,8.18,7.04,7.09,5.63,7,Udinese,12,27,71.6,5.6,6.984999999999999
Scott McTominay,275,7.96,5.52,7.05,7.4,3,Scotland,55,282,91.7,3.1,6.9825
Ricard Puig Martí,525,9.81,4.46,7.44,6.22,11,Barcelona,11,42,47.7,5.8,6.9825
Juan Camilo Zúñiga Mosquera,261,8.79,7.36,7.07,4.7,3,Bologna,12,27,87.0,2.9,6.9799999999999995
Bruno Guimarães Rodriguez Moura,95,7.7,6.59,6.87,6.68,1,Lyon,7,108,95.0,1.1,6.96
Darius Vassell,28,6.66,9.45,9.66,2.07,1,Aston Villa,2,44,28.0,0.3,6.96
Giuseppe Vives,2618,9.27,6.7,6.66,5.18,33,Torino,12,27,79.3,29.1,6.9525
Stanislav Lobotka,402,10.0,5.65,6.41,5.73,4,Slovakia,55,282,100.5,4.5,6.947500000000001
Rodrigo Sebastián Aguirre Soto,38,1.18,9.12,8.5,8.94,2,Udinese,12,27,19.0,0.4,6.934999999999999
Kieron Dyer,91,4.59,9.02,7.38,6.73,1,Newcastle United,2,44,91.0,1.0,6.93
Tomáš Souček,282,9.61,3.77,5.04,9.19,3,Czech Republic,55,282,94.0,3.1,6.9025
Chris Führich,155,3.53,8.15,9.51,6.41,2,VfB Stuttgart,9,281,77.5,1.7,6.8999999999999995
Kevin De Bruyne,375,8.79,6.65,3.15,8.96,4,Belgium,55,282,93.8,4.2,6.8875
Francesco Lodi,1903,8.77,5.05,7.0,6.72,24,Udinese,12,27,79.3,21.1,6.885
Saša Lukić,259,9.59,6.51,9.36,2.07,3,Serbia,43,106,86.3,2.9,6.8825
El-Hadji Ousseynou Diouf,175,4.44,7.33,9.53,6.21,2,Liverpool,2,44,87.5,1.9,6.8774999999999995
Michael Brown,97,5.15,8.41,6.87,7.07,1,Tottenham Hotspur,2,44,97.0,1.1,6.875
Vitor Machado Ferreira,2085,9.92,4.87,7.51,5.2,30,Paris Saint-Germain,7,235,69.5,23.2,6.874999999999999
Lorenzo Lollo,2147,7.86,6.31,7.76,5.54,27,Carpi,12,27,79.5,23.9,6.8675
Luca Rigoni,1893,8.64,3.79,8.09,6.95,28,Palermo,12,27,67.6,21.0,6.8675
