midfielder,team,season_id,pass_control,ball_progression,defensive_contribution,creative_output,cluster_profile,relative_pass_control,relative_ball_progression,relative_defensive_contribution,relative_creative_output
Javier Muñoz Jiménez,Deportivo Alavés,42,3.44,0.85,1.7,2.07,Advanced Playmaker,1.4249999999999998,-1.165,-0.31500000000000017,0.054999999999999716
Jean Emile Junior Onana Onana,Bordeaux,108,7.27,4.09,3.48,2.07,Advanced Playmaker,3.0424999999999995,-0.13750000000000018,-0.7475,-2.1575
Jens Stage,Werder Bremen,281,5.15,3.73,3.07,2.07,Advanced Playmaker,1.645,0.22499999999999964,-0.4350000000000005,-1.4350000000000005
Jens-Lys Michel Cajuste,Stade de Reims,235,7.35,3.83,1.56,5.23,Advanced Playmaker,2.8575,-0.6624999999999996,-2.9324999999999997,0.7375000000000007
Jerdy Schouten,Netherlands,282,9.9,2.76,8.17,4.71,Advanced Playmaker,3.5150000000000006,-3.625,1.7850000000000001,-1.6749999999999998
Joaquín Fernández Moreno,Real Valladolid,42,6.99,2.04,3.76,5.78,Advanced Playmaker,2.3475,-2.6025,-0.8825000000000003,1.1375000000000002
Joe Allen,Wales,106,7.75,2.09,5.33,5.27,Advanced Playmaker,2.6400000000000006,-3.0199999999999996,0.22000000000000064,0.16000000000000014
Joey Veerman,Netherlands,282,6.38,2.06,2.28,6.56,Advanced Playmaker,2.0600000000000005,-2.2599999999999993,-2.0399999999999996,2.24
Johann Lepenant,Lyon,235,7.72,0.85,6.08,2.07,Advanced Playmaker,3.54,-3.3299999999999996,1.9000000000000004,-2.11
John Welsh,Liverpool,44,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Jon Gorenc Stankovič,Slovenia,282,2.09,0.85,2.32,2.07,Advanced Playmaker,0.25749999999999984,-0.9825,0.4874999999999998,0.23749999999999982
Jon Moncayola Tollar,Osasuna,90,7.07,6.26,1.93,4.43,Advanced Playmaker,2.147500000000001,1.3375000000000004,-2.9924999999999997,-0.4924999999999997
Jonas Hofmann,Bayer Leverkusen,281,9.18,5.18,5.47,8.72,Advanced Playmaker,2.0425000000000004,-1.9574999999999996,-1.6674999999999995,1.5825000000000014
Jonas Martin,Rennes,108,7.51,2.0,1.95,4.29,Advanced Playmaker,3.5725,-1.9375,-1.9875,0.35250000000000004
Jonas Older Wind,Denmark,282,1.73,0.85,1.25,2.07,Advanced Playmaker,0.2549999999999999,-0.6250000000000001,-0.2250000000000001,0.5949999999999998
Jonathan Osorio,Canada,106,6.11,5.67,2.26,2.07,Advanced Playmaker,2.0825000000000005,1.6425,-1.7675,-1.9575
Jordi Alba Ramos,Barcelona,42,6.78,4.57,2.67,4.72,Advanced Playmaker,2.0949999999999998,-0.11500000000000021,-2.0150000000000006,0.034999999999999254
Jorge Luiz Frello Filho,Napoli,27,9.4,3.06,7.9,6.13,Advanced Playmaker,2.7775000000000007,-3.5624999999999996,1.2775000000000007,-0.4924999999999997
Joris Chotard,Montpellier,235,6.42,2.38,3.49,6.29,Advanced Playmaker,1.7749999999999995,-2.2650000000000006,-1.1550000000000002,1.6449999999999996
Josep Señé Escudero,Mallorca,42,6.92,6.42,0.52,2.07,Advanced Playmaker,2.9375,2.4375,-3.4625,-1.9125
Joseph Alfred Duncan,Sassuolo,27,7.59,6.83,7.58,8.4,Advanced Playmaker,-0.009999999999999787,-0.7699999999999996,-0.019999999999999574,0.8000000000000007
Joshua Kimmich,Germany,106,9.34,4.18,3.54,7.61,Advanced Playmaker,3.1725000000000003,-1.9874999999999998,-2.6274999999999995,1.4425000000000008
Joshua Zirkzee,Netherlands,282,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Josip Iličić,Fiorentina,27,8.66,7.46,6.64,8.66,Advanced Playmaker,0.8049999999999997,-0.39500000000000046,-1.2150000000000007,0.8049999999999997
Josuha Guilavogui,Bordeaux,108,7.55,2.36,1.16,4.97,Advanced Playmaker,3.54,-1.65,-2.8499999999999996,0.96
José Adoni Cifuentes Charcopa,Ecuador,106,2.34,2.44,1.18,2.07,Advanced Playmaker,0.3325,0.4325000000000001,-0.8274999999999999,0.0625
José Andrés Guardado Hernández,Real Betis,4,6.01,6.59,6.11,5.02,Advanced Playmaker,0.07749999999999968,0.6574999999999998,0.1775000000000002,-0.9125000000000005
José Luis Sanmartín Mato,Deportivo Alavés,42,5.9,0.85,2.85,2.07,Advanced Playmaker,2.9825000000000004,-2.0675,-0.0674999999999999,-0.8475000000000001
José María Martín-Bejarano Serrano,Cádiz,90,8.43,0.85,3.61,2.07,Advanced Playmaker,4.6899999999999995,-2.8899999999999997,-0.1299999999999999,-1.67
José Mauri,AC Milan,27,9.67,4.45,8.03,7.0,Advanced Playmaker,2.3825000000000003,-2.8374999999999995,0.7424999999999997,-0.28749999999999964
José Raúl Gutiérrez Parejo,Elche,90,7.0,3.73,5.11,2.07,Advanced Playmaker,2.5225,-0.7475,0.6325000000000003,-2.4075
João Félix Sequeira,Portugal,282,5.9,2.37,2.12,6.48,Advanced Playmaker,1.6825,-1.8475000000000001,-2.0975,2.2625
João Maria Lobo Alves Palhinha Gonçalves,Portugal,282,9.92,1.73,6.31,4.63,Advanced Playmaker,4.2725,-3.9175,0.6624999999999996,-1.0175
João Mário Naval da Costa Eduardo,Portugal,106,7.03,3.11,3.6,2.07,Advanced Playmaker,3.0775,-0.8425000000000002,-0.35250000000000004,-1.8825000000000003
João Neves,Portugal,282,5.5,2.02,1.87,2.07,Advanced Playmaker,2.635,-0.8450000000000002,-0.9950000000000001,-0.7950000000000004
Juan Camilo Hernández Suárez,Mallorca,42,4.47,2.97,2.44,2.07,Advanced Playmaker,1.4825,-0.017499999999999627,-0.5474999999999999,-0.9175
Juan Camilo Zúñiga Mosquera,Bologna,27,8.79,7.36,7.07,4.7,Advanced Playmaker,1.8099999999999996,0.3800000000000008,0.09000000000000075,-2.2799999999999994
Juan Francisco Torres Belén,Atlético Madrid,4,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Jude Bellingham,England,282,9.66,7.4,8.4,6.35,Advanced Playmaker,1.7074999999999996,-0.5525000000000002,0.4474999999999998,-1.602500000000001
Jules Olivier Ntcham,Genoa,27,9.34,7.68,7.91,7.19,Advanced Playmaker,1.3100000000000005,-0.34999999999999964,-0.11999999999999922,-0.839999999999999
Julian Jeanvier,Auxerre,235,8.43,5.73,1.16,2.07,Advanced Playmaker,4.0825,1.3825000000000003,-3.1875,-2.2775000000000003
Julian Weigl,Borussia Mönchengladbach,281,7.5,0.85,6.02,2.07,Advanced Playmaker,3.3900000000000006,-3.2599999999999993,1.9100000000000001,-2.0399999999999996
Jun-Ho Son,South Korea,106,6.06,0.85,5.54,2.07,Advanced Playmaker,2.4299999999999997,-2.78,1.9100000000000001,-1.56
Juraj Kucka,Genoa,27,8.3,8.48,8.16,7.5,Advanced Playmaker,0.19000000000000128,0.370000000000001,0.05000000000000071,-0.6099999999999994
Júnior Wakalibille Lago,Mallorca,42,7.44,7.94,3.32,2.07,Advanced Playmaker,2.2475000000000005,2.7475000000000005,-1.8725,-3.1225
Karim Boudiaf,Qatar,106,7.55,4.22,2.43,2.07,Advanced Playmaker,3.4825,0.15249999999999986,-1.6374999999999997,-1.9975
Karl Brillant Toko Ekambi,Lyon,235,8.14,7.58,1.49,6.24,Advanced Playmaker,2.2775,1.7174999999999994,-4.3725000000000005,0.3774999999999995
