midfielder,team,season_id,pass_control,ball_progression,defensive_contribution,creative_output,cluster_profile,relative_pass_control,relative_ball_progression,relative_defensive_contribution,relative_creative_output
Nampalys Mendy,Senegal,106,9.86,6.56,5.11,4.26,Advanced Playmaker,3.4124999999999996,0.11249999999999982,-1.3374999999999995,-2.1875
Nawaf Shaker Al Abid,Saudi Arabia,106,5.4,2.79,2.79,4.98,Advanced Playmaker,1.4100000000000001,-1.2000000000000002,-1.2000000000000002,0.9900000000000002
Neill McCann,Southampton,44,5.07,4.39,4.45,2.07,Advanced Playmaker,1.0750000000000002,0.3949999999999996,0.45500000000000007,-1.9250000000000003
Nemanja Gudelj,Serbia,282,7.2,7.22,1.07,2.07,Advanced Playmaker,2.8100000000000005,2.83,-3.3199999999999994,-2.32
Nenad Tomović,Fiorentina,27,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Neymar da Silva Santos Junior,Paris Saint-Germain,235,9.02,7.42,8.79,8.72,Advanced Playmaker,0.5325000000000006,-1.067499999999999,0.3025000000000002,0.2325000000000017
Nicola Rigoni,Chievo,27,8.68,6.28,7.96,4.51,Advanced Playmaker,1.8224999999999998,-0.5774999999999997,1.1025,-2.3475
Nicolae Claudiu Stanciu,Romania,282,7.9,2.9,3.84,8.64,Advanced Playmaker,2.08,-2.9200000000000004,-1.9800000000000004,2.8200000000000003
Nicolas Höfler,Freiburg,281,5.45,3.57,3.96,2.07,Advanced Playmaker,1.6875,-0.19250000000000034,0.1974999999999998,-1.6925000000000003
Nicolas Seiwald,Austria,282,9.7,4.13,8.42,7.18,Advanced Playmaker,2.3424999999999994,-3.2275,1.0625,-0.1775000000000002
Nicolò Barella,Italy,282,9.4,3.26,5.52,5.51,Advanced Playmaker,3.477500000000001,-2.6624999999999996,-0.40249999999999986,-0.41249999999999964
Nicolò Fagioli,Italy,282,4.02,2.69,1.53,4.17,Advanced Playmaker,0.9175,-0.41249999999999964,-1.5724999999999996,1.0675000000000003
Nigel de Jong,AC Milan,27,9.2,1.71,4.56,4.68,Advanced Playmaker,4.1625,-3.3274999999999997,-0.47750000000000004,-0.35749999999999993
Nika Kvekveskiri,Georgia,282,7.76,3.53,0.52,2.07,Advanced Playmaker,4.29,0.06000000000000005,-2.9499999999999997,-1.4
Niklas Dorsch,Augsburg,281,7.37,2.67,4.32,4.49,Advanced Playmaker,2.6574999999999998,-2.0425000000000004,-0.39250000000000007,-0.22250000000000014
Nikola Ninković,Chievo,27,8.43,0.85,0.52,2.07,Advanced Playmaker,5.4625,-2.1174999999999997,-2.4475,-0.8975
Norbert Gyömbér,AS Roma,27,1.92,0.85,1.17,2.07,Advanced Playmaker,0.4175,-0.6525,-0.3325,0.5674999999999999
Norman Theuerkauf,FC Heidenheim,281,7.44,0.85,0.52,2.07,Advanced Playmaker,4.720000000000001,-1.87,-2.2,-0.6500000000000004
Ogenyi Eddy Onazi,Lazio,27,9.12,3.7,8.46,5.81,Advanced Playmaker,2.3474999999999993,-3.0725,1.6875000000000009,-0.9625000000000004
Okay Yokuşlu,Turkey,282,6.24,5.56,3.97,2.07,Advanced Playmaker,1.7800000000000002,1.0999999999999996,-0.48999999999999977,-2.39
Ondrej Duda,Slovakia,282,9.16,3.78,5.76,6.44,Advanced Playmaker,2.875,-2.5050000000000003,-0.5250000000000004,0.15500000000000025
Oriol Busquets Mas,Clermont Foot,108,8.43,0.85,0.52,2.07,Advanced Playmaker,5.4625,-2.1174999999999997,-2.4475,-0.8975
Oscar Hiljemark,Palermo,27,8.55,6.08,6.26,7.76,Advanced Playmaker,1.387500000000001,-1.0824999999999996,-0.9024999999999999,0.5975000000000001
Otar Kiteishvili,Georgia,282,7.64,0.85,5.6,4.81,Advanced Playmaker,2.915,-3.8749999999999996,0.875,0.08499999999999996
Pablo Martín Páez Gavira,Spain,106,9.75,6.81,6.35,7.09,Advanced Playmaker,2.250000000000001,-0.6899999999999995,-1.1499999999999995,-0.40999999999999925
Pablo Paulino Rosario,OGC Nice,108,7.44,1.94,3.38,7.66,Advanced Playmaker,2.335,-3.1650000000000005,-1.7250000000000005,2.5549999999999997
Panagiotis Giorgios Kone,Udinese,27,8.59,8.71,5.98,7.87,Advanced Playmaker,0.8024999999999993,0.9225000000000003,-1.8075,0.08249999999999957
Paolo Sammarco,Frosinone,27,8.29,5.19,8.22,6.5,Advanced Playmaker,1.2399999999999984,-1.8600000000000003,1.17,-0.5500000000000007
Papa Kouly Diop,Eibar,42,5.39,1.81,3.06,2.07,Advanced Playmaker,2.3074999999999997,-1.2725,-0.022499999999999964,-1.0125000000000002
Pape Cheikh Diop Gueye,Celta Vigo,42,8.43,5.26,4.63,7.66,Advanced Playmaker,1.9349999999999996,-1.2350000000000003,-1.8650000000000002,1.165
Pape Gueye,Senegal,106,5.42,2.28,3.9,6.02,Advanced Playmaker,1.0150000000000006,-2.1249999999999996,-0.5049999999999994,1.6150000000000002
Pape Matar Sarr,Metz,108,6.52,5.26,1.14,2.07,Advanced Playmaker,2.7724999999999995,1.5124999999999997,-2.6075,-1.6775000000000002
Pascal Groß,Germany,282,6.36,2.79,1.05,2.07,Advanced Playmaker,3.2925,-0.2775000000000003,-2.0175,-0.9975000000000005
Patrice Evra,Juventus,27,7.11,6.42,0.52,2.07,Advanced Playmaker,3.08,2.3899999999999997,-3.5100000000000002,-1.9600000000000004
Patricio Gabarrón Gil,Lazio,27,3.72,2.12,1.73,2.07,Advanced Playmaker,1.31,-0.29000000000000004,-0.6800000000000002,-0.3400000000000003
Patrick Twumasi,Deportivo Alavés,4,4.09,0.85,0.52,2.07,Advanced Playmaker,2.2075,-1.0324999999999998,-1.3624999999999998,0.1875
Patrick Vieira,Arsenal,44,9.36,4.06,7.74,5.9,Advanced Playmaker,2.5950000000000006,-2.704999999999999,0.9750000000000014,-0.8649999999999984
Paul Pogba,Juventus,27,9.26,7.82,8.35,7.46,Advanced Playmaker,1.0374999999999996,-0.40249999999999986,0.1274999999999995,-0.7625000000000002
Pedro Chirivella Burgos,Nantes,108,6.87,2.23,2.02,5.19,Advanced Playmaker,2.7925000000000004,-1.8474999999999997,-2.0574999999999997,1.1125000000000007
Pedro González López,Barcelona,90,9.68,4.74,7.99,6.5,Advanced Playmaker,2.4524999999999997,-2.4875,0.7625000000000002,-0.7275
Pedro Mosquera Parada,Huesca,90,7.29,3.88,3.02,2.07,Advanced Playmaker,3.2250000000000005,-0.1849999999999996,-1.0449999999999995,-1.9949999999999997
Per Frandsen,Bolton Wanderers,44,1.62,0.85,1.21,2.07,Advanced Playmaker,0.1825000000000001,-0.5875,-0.22750000000000004,0.6324999999999998
Petr Ševčík,Czech Republic,282,3.39,2.97,2.58,2.07,Advanced Playmaker,0.6374999999999997,0.2174999999999998,-0.17250000000000032,-0.6825000000000006
Phil Foden,England,282,8.94,4.67,7.42,5.41,Advanced Playmaker,2.329999999999999,-1.9400000000000004,0.8099999999999996,-1.2000000000000002
Philipp Förster,Bochum,281,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Philippe Coutinho Correia,Barcelona,4,9.6,6.71,6.55,7.3,Advanced Playmaker,2.0599999999999996,-0.8300000000000001,-0.9900000000000002,-0.2400000000000002
Pierre-Emile Højbjerg,Denmark,282,9.73,4.61,7.88,5.04,Advanced Playmaker,2.915000000000001,-2.204999999999999,1.0650000000000004,-1.7749999999999995
Pierrick Capelle,Angers,235,6.92,3.73,2.83,2.07,Advanced Playmaker,3.0324999999999998,-0.1575000000000002,-1.0575,-1.8175000000000003
Piotr Zieliński,Empoli,27,9.05,7.73,7.22,7.7,Advanced Playmaker,1.1250000000000009,-0.1949999999999994,-0.7050000000000001,-0.22499999999999964
Presnel Kimpembe,Paris Saint-Germain,235,6.52,4.92,1.62,2.07,Advanced Playmaker,2.7375,1.1375000000000002,-2.1624999999999996,-1.7125
Radja Nainggolan,AS Roma,27,9.48,6.19,8.3,7.01,Advanced Playmaker,1.7349999999999994,-1.5550000000000006,0.5549999999999997,-0.7350000000000012
Raffaele Bianco,Carpi,27,8.72,3.93,6.6,5.83,Advanced Playmaker,2.450000000000001,-2.3399999999999994,0.33000000000000007,-0.4399999999999995
Raffaele Maiello,Empoli,27,9.25,5.78,5.61,6.59,Advanced Playmaker,2.4425,-1.0274999999999999,-1.1974999999999998,-0.21750000000000025
Ravel Morrison,Lazio,27,4.64,3.64,2.09,4.32,Advanced Playmaker,0.9674999999999998,-0.03249999999999975,-1.5825,0.6475000000000004
Ray Parlour,Arsenal,44,8.83,5.63,6.01,6.27,Advanced Playmaker,2.1450000000000005,-1.0549999999999997,-0.6749999999999998,-0.41500000000000004
Remo Freuler,Switzerland,282,9.72,4.07,9.31,5.0,Advanced Playmaker,2.6950000000000003,-2.955,2.285,-2.0250000000000004
Renato Júnior Luz Sanches,Paris Saint-Germain,235,9.44,6.16,5.67,4.39,Advanced Playmaker,3.0249999999999995,-0.2549999999999999,-0.7450000000000001,-2.0250000000000004
Ricard Puig Martí,Barcelona,42,9.81,4.46,7.44,6.22,Advanced Playmaker,2.8275000000000006,-2.5225,0.45750000000000046,-0.7625000000000002
Ricardo Gabriel Álvarez,Sampdoria,27,8.9,8.35,5.55,7.44,Advanced Playmaker,1.3399999999999999,0.7899999999999991,-2.0100000000000007,-0.1200000000000001
Riccardo Montolivo,AC Milan,27,9.31,5.04,7.24,4.83,Advanced Playmaker,2.705,-1.5650000000000004,0.6349999999999998,-1.7750000000000004
Robert Andrich,Bayer Leverkusen,281,8.87,5.12,6.29,4.87,Advanced Playmaker,2.5824999999999996,-1.1674999999999995,0.002500000000000391,-1.4174999999999995
Robert Gucher,Frosinone,27,8.14,6.24,8.23,8.37,Advanced Playmaker,0.39500000000000135,-1.504999999999999,0.4850000000000012,0.625
Robert Ibáñez Castro,Getafe,4,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Robert Pirès,Arsenal,44,9.09,9.01,8.28,8.7,Advanced Playmaker,0.3200000000000003,0.2400000000000002,-0.4900000000000002,-0.07000000000000028
Roberto Maximiliano Pereyra,Juventus,27,9.93,8.31,8.22,9.4,Advanced Playmaker,0.9649999999999999,-0.6549999999999994,-0.7449999999999992,0.4350000000000005
Roberto Soriano,Sampdoria,27,9.19,8.22,7.57,6.02,Advanced Playmaker,1.4399999999999995,0.47000000000000064,-0.17999999999999972,-1.7300000000000004
Roberto Suárez Pier,Levante UD,90,6.72,4.66,3.89,2.07,Advanced Playmaker,2.385,0.3250000000000002,-0.44499999999999984,-2.265
Rodrigo Hernández Cascante,Spain,282,9.99,4.72,5.8,5.64,Advanced Playmaker,3.4524999999999997,-1.8175000000000008,-0.7375000000000007,-0.8975000000000009
Rodrigo Javier De Paul,Argentina,106,9.15,6.69,7.37,5.55,Advanced Playmaker,1.96,-0.5,0.17999999999999972,-1.6400000000000006
Roland Sallai,Hungary,282,9.33,9.1,7.18,9.13,Advanced Playmaker,0.6449999999999996,0.41499999999999915,-1.5050000000000008,0.4450000000000003
Romain Faivre,Lorient,235,8.16,9.33,1.06,4.87,Advanced Playmaker,2.3049999999999997,3.4749999999999996,-4.795,-0.9850000000000003
Ronaldo Pompeu da Silva,Empoli,27,5.13,3.6,4.22,4.23,Advanced Playmaker,0.835,-0.6949999999999998,-0.07500000000000018,-0.0649999999999995
Roque Mesa Quevedo,Real Valladolid,90,6.33,4.77,4.09,2.07,Advanced Playmaker,2.0150000000000006,0.45500000000000007,-0.22499999999999964,-2.2449999999999997
Ryad Boudebouz,Saint-Étienne,108,7.23,6.42,3.26,6.11,Advanced Playmaker,1.4750000000000005,0.665,-2.495,0.3550000000000004
Rúben Diogo Da Silva Neves,Portugal,106,9.91,2.56,7.38,4.9,Advanced Playmaker,3.7225,-3.6275,1.1925,-1.2874999999999996
Răzvan Gabriel Marin,Romania,282,9.41,3.13,5.88,6.01,Advanced Playmaker,3.3025,-2.9775,-0.22750000000000004,-0.09750000000000014
Saeid Ezatolahi Afagh,Iran,106,8.6,5.79,8.31,8.8,Advanced Playmaker,0.7249999999999988,-2.085000000000001,0.4349999999999996,0.9249999999999998
Salif Alassane Diao,Liverpool,44,7.05,6.67,2.7,2.07,Advanced Playmaker,2.4275,2.0475000000000003,-1.9224999999999994,-2.5524999999999998
Salih Özcan,Turkey,282,2.15,2.15,1.58,2.07,Advanced Playmaker,0.1625000000000001,0.1625000000000001,-0.40749999999999975,0.08250000000000002
Salis Abdul Samed,Ghana,106,9.83,4.35,8.59,4.37,Advanced Playmaker,3.045,-2.4350000000000005,1.8049999999999997,-2.415
Salvador Sevilla López,Mallorca,42,6.5,2.25,2.89,6.2,Advanced Playmaker,2.04,-2.21,-1.5699999999999998,1.7400000000000002
Sami Khedira,Juventus,27,9.29,5.37,7.46,5.04,Advanced Playmaker,2.499999999999999,-1.42,0.6699999999999999,-1.75
Samuel Moutoussamy,Nantes,235,6.92,5.87,5.76,4.59,Advanced Playmaker,1.1350000000000007,0.08500000000000085,-0.024999999999999467,-1.1949999999999994
Sanjin Prcić,Strasbourg,108,6.92,3.42,1.82,2.07,Advanced Playmaker,3.3625,-0.13750000000000018,-1.7375,-1.4875000000000003
Saphir Sliti Taïder,Bologna,27,9.11,6.68,7.13,5.96,Advanced Playmaker,1.8899999999999997,-0.54,-0.08999999999999986,-1.2599999999999998
Saîf-Eddine Khaoui,Clermont Foot,235,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Saša Lukić,Serbia,106,9.59,6.51,9.36,2.07,Advanced Playmaker,2.7074999999999996,-0.3725000000000005,2.477499999999999,-4.8125
Scott McTominay,Scotland,282,7.96,5.52,7.05,7.4,Advanced Playmaker,0.9775,-1.4625000000000004,0.0674999999999999,0.4175000000000004
Seko Fofana,Lens,108,7.24,6.28,6.9,7.0,Advanced Playmaker,0.3849999999999998,-0.5750000000000002,0.04499999999999993,0.14499999999999957
Selim Amallah,Morocco,106,8.09,5.33,6.62,7.28,Advanced Playmaker,1.2599999999999998,-1.5,-0.20999999999999996,0.4500000000000002
Semih Kılıçsoy,Turkey,282,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Sergej Milinković-Savić,Lazio,27,7.33,8.07,7.35,6.44,Advanced Playmaker,0.03249999999999975,0.7725,0.052499999999999325,-0.8574999999999999
Sergi Roberto Carnicer,Barcelona,42,9.81,7.02,5.4,6.94,Advanced Playmaker,2.517500000000001,-0.27249999999999996,-1.8924999999999992,-0.35249999999999915
Sergio Busquets i Burgos,Barcelona,4,9.84,3.07,7.66,4.86,Advanced Playmaker,3.4825,-3.2875,1.3025000000000002,-1.4974999999999996
Sergio Pellissier,Chievo,27,2.81,0.85,2.3,2.07,Advanced Playmaker,0.8025000000000002,-1.1574999999999998,0.2925,0.0625
Sergio Ramos García,Paris Saint-Germain,235,7.44,0.85,1.5,2.07,Advanced Playmaker,4.475,-2.115,-1.4650000000000003,-0.8950000000000005
Sergio Álvarez Díaz,Eibar,42,5.12,2.75,3.35,2.07,Advanced Playmaker,1.7974999999999999,-0.5725000000000002,0.027499999999999858,-1.2525000000000004
Seung-Ho Paik,South Korea,106,7.26,0.85,2.81,2.07,Advanced Playmaker,4.012499999999999,-2.3975,-0.4375,-1.1775000000000002
Seydou Kéita,AS Roma,27,9.49,3.65,7.07,4.44,Advanced Playmaker,3.3274999999999997,-2.5125000000000006,0.9074999999999998,-1.7225000000000001
Simone Missiroli,Sassuolo,27,8.62,7.46,8.36,5.97,Advanced Playmaker,1.0175,-0.14249999999999918,0.7575000000000003,-1.6324999999999994
Simone Padoin,Juventus,27,9.7,4.86,1.73,7.91,Advanced Playmaker,3.6499999999999995,-1.1899999999999995,-4.32,1.8600000000000003
Sofyan Amrabat,Morocco,106,9.53,8.93,9.47,4.76,Advanced Playmaker,1.3575,0.7575000000000003,1.2975000000000012,-3.4124999999999996
Stanislav Lobotka,Slovakia,282,10.0,5.65,6.41,5.73,Advanced Playmaker,3.0524999999999993,-1.2975000000000003,-0.5375000000000005,-1.2175000000000002
Stefano Mauri,Lazio,27,6.74,2.53,2.48,4.61,Advanced Playmaker,2.6500000000000004,-1.56,-1.6099999999999999,0.5200000000000005
Stephan El Shaarawy,AS Roma,27,9.09,9.0,9.55,7.13,Advanced Playmaker,0.3974999999999991,0.3074999999999992,0.8574999999999999,-1.5625000000000009
Stevan Jovetić,Inter Milan,27,7.98,4.87,7.89,8.22,Advanced Playmaker,0.7400000000000002,-2.37,0.6499999999999995,0.9800000000000004
Steven Zuber,Switzerland,282,7.72,3.42,3.0,5.78,Advanced Playmaker,2.7399999999999993,-1.5600000000000005,-1.9800000000000004,0.7999999999999998
Stiven Ricardo Plaza Castillo,Real Valladolid,4,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Sylvain Legwinski,Fulham,44,5.1,2.91,4.57,5.75,Advanced Playmaker,0.5175000000000001,-1.6724999999999994,-0.01249999999999929,1.1675000000000004
Tajon Buchanan,Canada,106,8.63,9.54,8.87,8.79,Advanced Playmaker,-0.3274999999999988,0.5824999999999996,-0.08750000000000036,-0.16750000000000043
Taras Stepanenko,Ukraine,282,3.84,0.85,1.75,2.07,Advanced Playmaker,1.7125,-1.2774999999999999,-0.37749999999999995,-0.05750000000000011
Taras Wiktorowicz Romanczuk,Poland,282,1.84,0.85,2.15,2.07,Advanced Playmaker,0.11250000000000004,-0.8775000000000001,0.4224999999999999,0.3424999999999998
Teun Koopmeiners,Netherlands,106,7.56,2.73,7.27,8.01,Advanced Playmaker,1.1674999999999995,-3.6625,0.8774999999999995,1.6174999999999997
Thomas Hitzlsperger,Aston Villa,44,5.51,3.42,3.13,5.67,Advanced Playmaker,1.0775000000000006,-1.0124999999999993,-1.3024999999999993,1.2375000000000007
Thomas Mangani,AC Ajaccio,235,5.75,0.85,3.16,2.07,Advanced Playmaker,2.7925,-2.1075,0.20250000000000012,-0.8875000000000002
Thomas Müller,Bayern Munich,281,8.22,6.98,5.68,7.43,Advanced Playmaker,1.1425,-0.09750000000000014,-1.3975000000000009,0.35249999999999915
Thomas Teye Partey,Ghana,106,9.57,4.97,3.28,5.28,Advanced Playmaker,3.795,-0.8050000000000006,-2.4950000000000006,-0.4950000000000001
Tiago Barreiros de Melo Tomás,Wolfsburg,281,7.11,0.85,1.37,2.07,Advanced Playmaker,4.26,-2.0,-1.48,-0.7800000000000002
Tie Li,Everton,44,3.3,0.85,1.97,2.07,Advanced Playmaker,1.2525,-1.1974999999999998,-0.0774999999999999,0.022499999999999964
Tijjani Reijnders,Netherlands,282,9.94,7.85,3.87,5.48,Advanced Playmaker,3.1549999999999994,1.0649999999999995,-2.915,-1.3049999999999997
Tim Breithaupt,Augsburg,281,7.69,0.85,2.5,2.07,Advanced Playmaker,4.4125,-2.4275,-0.7775000000000003,-1.2075000000000005
Timi Elšnik,Slovenia,282,9.08,8.96,7.48,6.58,Advanced Playmaker,1.0549999999999997,0.9350000000000005,-0.5449999999999999,-1.4450000000000003
Tom Krauß,FSV Mainz 05,281,4.35,2.31,3.72,2.07,Advanced Playmaker,1.2374999999999994,-0.8025000000000002,0.6074999999999999,-1.0425000000000004
Tomás Eduardo Rincón Hernández,Genoa,27,9.46,7.55,8.81,7.03,Advanced Playmaker,1.2475000000000005,-0.6625000000000005,0.5975000000000001,-1.1825
Tomáš Souček,Czech Republic,282,9.61,3.77,5.04,9.19,Advanced Playmaker,2.7074999999999996,-3.1325,-1.8624999999999998,2.2874999999999996
Toni Kroos,Germany,282,9.71,3.02,5.89,7.69,Advanced Playmaker,3.1325000000000003,-3.5575000000000006,-0.6875000000000009,1.1124999999999998
Tyler Adams,United States,106,9.95,4.98,6.42,4.35,Advanced Playmaker,3.5249999999999986,-1.4450000000000003,-0.005000000000000782,-2.075000000000001
Umut Tohumcu,Hoffenheim,281,8.43,5.94,8.58,2.07,Advanced Playmaker,2.174999999999999,-0.3150000000000004,2.3249999999999993,-4.1850000000000005
Unai López Cabrera,Athletic Club,42,5.67,2.54,5.27,7.05,Advanced Playmaker,0.5374999999999996,-2.5925000000000002,0.1374999999999993,1.9174999999999995
Valentin Rongier,Marseille,235,7.81,3.29,3.67,5.0,Advanced Playmaker,2.8674999999999997,-1.6524999999999999,-1.2725,0.05750000000000011
Vincent Pajot,Metz,108,8.43,2.63,3.51,2.07,Advanced Playmaker,4.2700000000000005,-1.5299999999999994,-0.6499999999999995,-2.0899999999999994
Vitor Machado Ferreira,Paris Saint-Germain,235,9.92,4.87,7.51,5.2,Advanced Playmaker,3.045000000000001,-2.004999999999999,0.6350000000000007,-1.674999999999999
Warren Zaire Emery,Paris Saint-Germain,235,7.79,8.68,8.43,7.47,Advanced Playmaker,-0.3024999999999993,0.5875000000000004,0.33750000000000036,-0.6224999999999996
Weston McKennie,United States,106,9.45,8.92,4.28,6.63,Advanced Playmaker,2.13,1.6000000000000005,-3.039999999999999,-0.6899999999999995
William Vainqueur,AS Roma,27,9.64,3.85,5.67,9.23,Advanced Playmaker,2.5425000000000004,-3.2475,-1.4275000000000002,2.1325000000000003
Woo-Young Jung,South Korea,106,9.77,3.15,8.16,4.76,Advanced Playmaker,3.3100000000000005,-3.309999999999999,1.700000000000001,-1.6999999999999993
Wylan Jean-Claude Cyprien,Nantes,108,6.92,0.85,0.52,2.07,Advanced Playmaker,4.33,-1.7399999999999998,-2.07,-0.52
Yan Brice Eteki,Granada,90,7.65,1.97,3.6,2.07,Advanced Playmaker,3.8275,-1.8525000000000003,-0.22250000000000014,-1.7525000000000004
Yeltsin Ignacio Tejeda Valverde,Costa Rica,106,8.97,2.46,4.35,4.24,Advanced Playmaker,3.9650000000000007,-2.545,-0.6550000000000002,-0.7649999999999997
Yeremi Jesús Pino Santos,Villarreal,90,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Ylber Ramadani,Albania,282,9.9,4.64,9.35,4.69,Advanced Playmaker,2.755,-2.505000000000001,2.204999999999999,-2.455
Yohann Magnin,Clermont Foot,108,7.64,0.85,1.22,8.46,Advanced Playmaker,3.0974999999999993,-3.6925000000000003,-3.3225000000000007,3.9175000000000004
Youssouf M''Changama,Auxerre,235,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Yunus Dimoara Musah,United States,106,9.49,8.88,5.83,6.2,Advanced Playmaker,1.8899999999999997,1.2800000000000002,-1.7700000000000005,-1.4000000000000004
Zaydou Youssouf,Saint-Étienne,108,6.66,6.07,4.75,2.07,Advanced Playmaker,1.7725,1.1825,-0.13750000000000018,-2.8175000000000003
Zdravko Kuzmanović,Udinese,27,9.01,4.21,6.63,5.98,Advanced Playmaker,2.5525,-2.2474999999999996,0.17250000000000032,-0.47749999999999915
Ádám Nagy,Hungary,282,4.19,4.3,2.27,2.07,Advanced Playmaker,0.9825000000000004,1.0924999999999998,-0.9375,-1.1375000000000002
Édgar Osvaldo Barreto Cáceres,Sampdoria,27,8.7,2.91,6.21,5.41,Advanced Playmaker,2.892499999999999,-2.8975,0.40249999999999986,-0.39749999999999996
Érick Gabriel Gutiérrez Galaviz,Mexico,106,3.71,0.85,1.19,2.07,Advanced Playmaker,1.755,-1.105,-0.7650000000000001,0.11499999999999977
Óliver Torres Muñoz,Sevilla,42,4.29,3.42,2.31,2.07,Advanced Playmaker,1.2675,0.39749999999999996,-0.7124999999999999,-0.9525000000000001
Óscar Mingueza García,Barcelona,90,8.43,6.42,0.52,2.07,Advanced Playmaker,4.07,2.0600000000000005,-3.8399999999999994,-2.2899999999999996
Óscar de Marcos Arana,Athletic Club,90,1.92,2.63,1.77,2.07,Advanced Playmaker,-0.1775000000000002,0.5324999999999998,-0.3275000000000001,-0.027500000000000302
İlkay Gündoğan,Germany,282,9.97,4.26,3.77,4.45,Advanced Playmaker,4.357500000000001,-1.3525,-1.8424999999999998,-1.1624999999999996
İsmail Yüksek,Turkey,282,7.87,2.36,5.7,6.13,Advanced Playmaker,2.3550000000000004,-3.155,0.1850000000000005,0.6150000000000002
Žan Celar,Slovenia,282,2.81,0.85,0.52,2.07,Advanced Playmaker,1.2475,-0.7125,-1.0425,0.5074999999999998
Abdulrahman Al-Obood,Saudi Arabia,106,0.13,0.85,3.42,2.07,Box-to-Box,-1.4875000000000003,-0.7675000000000002,1.8024999999999998,0.4524999999999997
Achraf Lazaar,Palermo,27,1.4,3.53,5.14,2.07,Box-to-Box,-1.6350000000000002,0.49499999999999966,2.1049999999999995,-0.9650000000000003
Adrian Beck,FC Heidenheim,281,6.44,5.17,8.68,2.07,Box-to-Box,0.8500000000000005,-0.41999999999999993,3.09,-3.52
Adrien Thomasson,Strasbourg,108,4.21,4.39,7.75,7.4,Box-to-Box,-1.7275,-1.5475000000000003,1.8125,1.4625000000000004
Adrián López Álvarez,Osasuna,90,6.66,3.35,9.79,2.07,Box-to-Box,1.1925000000000008,-2.1174999999999993,4.3225,-3.3974999999999995
Alejandro Fernández Iglesias,Cádiz,90,1.89,4.81,9.11,4.66,Box-to-Box,-3.2275,-0.3075000000000001,3.9924999999999997,-0.4574999999999996
Alejandro Gallar Falguera,Huesca,4,2.17,5.01,9.61,8.26,Box-to-Box,-4.092499999999999,-1.2524999999999995,3.3475,1.9975000000000005
Alejandro Granell Nogué,Girona,4,3.92,2.47,8.72,6.83,Box-to-Box,-1.5650000000000004,-3.015,3.2350000000000003,1.3449999999999998
Aleksandar Pavlović,Bayern Munich,281,5.07,2.63,9.7,5.43,Box-to-Box,-0.6374999999999993,-3.0774999999999997,3.9924999999999997,-0.27749999999999986
Alex Král,Union Berlin,281,3.56,2.87,4.24,2.07,Box-to-Box,0.375,-0.31499999999999995,1.0550000000000002,-1.1150000000000002
Alex Rae,Wolverhampton Wanderers,44,4.54,5.17,7.69,4.69,Box-to-Box,-0.9825000000000008,-0.3525000000000009,2.1674999999999995,-0.8325000000000005
Alexander Merkel,Udinese,27,2.27,4.39,8.55,2.07,Box-to-Box,-2.0500000000000003,0.0699999999999994,4.23,-2.2500000000000004
Alexandru Cicâldău,Romania,282,2.81,0.85,5.34,2.07,Box-to-Box,0.04249999999999998,-1.9175,2.5725,-0.6975000000000002
Ali Abdi,Tunisia,106,0.13,0.85,5.81,2.07,Box-to-Box,-2.085,-1.3649999999999998,3.5949999999999998,-0.14500000000000002
Ali Gholizadeh,Iran,106,3.43,4.21,6.46,7.31,Box-to-Box,-1.9224999999999999,-1.1425,1.1075,1.9574999999999996
Alphonso Davies,Canada,106,7.61,8.34,9.14,8.29,Box-to-Box,-0.7349999999999985,-0.004999999999999005,0.7950000000000017,-0.054999999999999716
Amath Ndiaye,Getafe,42,0.83,0.85,3.1,2.07,Box-to-Box,-0.8825,-0.8624999999999999,1.3875000000000002,0.35749999999999993
Amdy Moustapha Faye,Portsmouth,44,1.69,2.72,9.2,5.31,Box-to-Box,-3.0399999999999996,-2.0099999999999993,4.47,0.5800000000000001
Anders Svensson,Southampton,44,8.43,4.81,8.74,2.07,Box-to-Box,2.4175000000000004,-1.2024999999999997,2.727500000000001,-3.9424999999999994
Andrea Lazzari,Carpi,27,8.72,3.24,9.33,9.92,Box-to-Box,0.9175000000000004,-4.5625,1.5274999999999999,2.1174999999999997
André Ayew Pelé,Ghana,106,0.99,2.21,7.6,2.07,Box-to-Box,-2.2275,-1.0075000000000003,4.382499999999999,-1.1475000000000004
André Filipe Tavares Gomes,Lille,235,6.92,2.17,9.6,5.03,Box-to-Box,0.9900000000000002,-3.76,3.67,-0.8999999999999995
