player,season_id,minutes_played,cluster,Cluster Label
Lawrence Shankland,282,39,1,Target Man
Kevin De Bruyne,282,92,1,Target Man
Dan Ndoye,282,85,3,Advanced Forward
Hirving Rodrigo Lozano Bahena,106,72,2,Complete Forward
Callum Wilson,106,56,3,Advanced Forward
Mathew Leckie,106,71,1,Target Man
Darwin Gabriel Núñez Ribeiro,106,244,2,Complete Forward
Charles De Ketelaere,106,13,2,Complete Forward
Akram Hassan Afif,106,278,3,Advanced Forward
Ui-Jo Hwang,106,99,0,Poacher
Timothy Weah,106,161,3,Advanced Forward
Haris Seferović,106,75,2,Complete Forward
Hattan Babhir,106,0,0,Poacher
Boulaye Dia,106,226,3,Advanced Forward
Ajdin Hrustic,106,30,1,Target Man
Ahmed Alaa Eldin Abdelmotaal,106,8,1,Target Man
Vincent Janssen,106,90,3,Advanced Forward
Walid Cheddira,106,63,2,Complete Forward
Abderrazak Hamdallah,106,73,1,Target Man
Sardar Azmoun,106,128,2,Complete Forward
Jason Cummings,106,40,3,Advanced Forward
Giovanni Reyna,106,58,0,Poacher
Haitham Mohammed Asiri,106,14,1,Target Man
Abdulrahman Al-Obood,106,32,1,Target Man
Steven Bergwijn,106,269,3,Advanced Forward
Antoine Semenyo,106,25,0,Poacher
Garang Kuol,106,24,0,Poacher
Anthony Daniel Contreras Enríquez,106,122,1,Target Man
Iñaki Williams Arthuer,106,267,3,Advanced Forward
Jackson Irvine,106,95,3,Advanced Forward
Joshua Sargent,106,155,0,Poacher
José Adoni Cifuentes Charcopa,106,16,0,Poacher
Riley McGree,106,134,3,Advanced Forward
Jonathan David,106,195,3,Advanced Forward
Andrej Kramarić,106,207,3,Advanced Forward
Youssoufa Moukoko,106,0,0,Poacher
Rogelio Gabriel Funes Mori,106,10,0,Poacher
Xherdan Shaqiri,106,93,3,Advanced Forward
Issam Jebali,106,190,3,Advanced Forward
Mohammed Kanoo,106,96,1,Target Man
Karim Ansarifard,106,46,1,Target Man
Ardon Jashari,106,5,1,Target Man
Daichi Kamada,106,93,1,Target Man
Lucas Daniel Cavallini,106,22,0,Poacher
Cyle Larin,106,135,1,Target Man
Noah Okafor,106,2,2,Complete Forward
Michael Steveen Estrada Martínez,106,225,1,Target Man
Daniel James,106,46,3,Advanced Forward
Ernesto Alexis Vega Rojas,106,63,0,Poacher
Firas Tariq Nasser Al Albirakan,106,277,3,Advanced Forward
Heung-Min Son,106,92,3,Advanced Forward
Almoez Ali Zainalabiddin Abdulla,106,227,3,Advanced Forward
Thomas Müller,106,134,0,Poacher
Taha Yassine Khenissi,106,34,0,Poacher
Gabriel Fernando de Jesus,106,102,3,Advanced Forward
Piotr Zieliński,106,93,2,Complete Forward
Johan Alberto Venegas Ulloa,106,73,3,Advanced Forward
Jesus Ferreira,106,45,3,Advanced Forward
Edinson Roberto Cavani Gómez,106,134,0,Poacher
Jamie MacLaren,106,65,0,Poacher
Xavi Simons,106,12,2,Complete Forward
Andreas Skov Olsen,106,64,3,Advanced Forward
Andreas Evald Cornelius,106,97,1,Target Man
Zakaria Aboukhlal,106,44,1,Target Man
Ayase Ueda,106,45,1,Target Man
Dušan Tadić,106,185,3,Advanced Forward
Joel Nathaniel Campbell Samuels,106,285,3,Advanced Forward
Jewison Bennette,106,30,2,Complete Forward
Raúl Alonso Jiménez Rodríguez,106,68,1,Target Man
Djorkaeff Neicer Reasco González,106,27,3,Advanced Forward
Arkadiusz Milik,106,78,2,Complete Forward
Kieffer Roberto Francisco Moore,106,245,3,Advanced Forward
Leandro Trossard,106,57,1,Target Man
Kevin José Rodríguez Cortez,106,9,0,Poacher
Mohammed Kudus,106,97,3,Advanced Forward
Andrea Bertolacci,27,6,1,Target Man
Simone Verdi,27,19,2,Complete Forward
Stefano Mauri,27,78,0,Poacher
Tim Matavž,27,464,2,Complete Forward
Alessandro Diamanti,27,9,3,Advanced Forward
Alessandro Piu,27,195,0,Poacher
Valter Birsa,27,72,1,Target Man
Fernando Llorente Torres,27,15,3,Advanced Forward
Federico Bonazzoli,27,59,3,Advanced Forward
Marco Tumminello,27,2,0,Poacher
Daniele Verde,27,13,1,Target Man
Darko Lazović,27,65,3,Advanced Forward
Christian Maggio,27,5,0,Poacher
Bruno Miguel Borges Fernandes,27,55,1,Target Man
Carlos Joaquín Correa,27,53,1,Target Man
Maximiliano Nicol Moralez,27,185,3,Advanced Forward
Matuzalém Francelino da Silva,27,9,3,Advanced Forward
Mato Jajalo,27,0,0,Poacher
Massimiliano Carlini,27,30,3,Advanced Forward
Boško Janković,27,89,3,Advanced Forward
Simone Pepe,27,80,1,Target Man
Francesco Acerbi,27,93,3,Advanced Forward
Franco Brienza,27,121,1,Target Man
Alejandro Miguel Rodriguez,27,41,0,Poacher
Simone Edera,27,4,0,Poacher
Amauri Carvalho de Oliveira,27,12,0,Poacher
Alejandro Darío Gómez,27,357,2,Complete Forward
Aleksandar Tonev,27,112,0,Poacher
Kingsley Coman,27,63,3,Advanced Forward
Luca Siligardi,27,80,3,Advanced Forward
Nicola Sansone,27,180,3,Advanced Forward
Norbert Sándor Balogh,27,35,1,Target Man
Lucas Nahuel Castro,27,184,3,Advanced Forward
Cristian Raimondi,27,29,0,Poacher
Levan Mchedlidze,27,325,1,Target Man
Antonino La Gumina,27,66,0,Poacher
Paweł Wszołek,27,36,2,Complete Forward
Diego Ángel Capel Trinidad,27,215,0,Poacher
Jules Olivier Ntcham,27,275,3,Advanced Forward
Raphael Martinho Alves de Lima,27,13,0,Poacher
Rade Krunić,27,27,2,Complete Forward
