player,season_id,minutes_played,cluster,Cluster Label
Benedict Hollerbach,281,17,2,Complete Forward
Jessic Ngankam,281,10,0,Poacher
Jonas Older Wind,281,123,0,Poacher
Woo-Yeong Jeong,281,26,1,Target Man
Robin Hack,281,61,3,Advanced Forward
Serhou Guirassy,281,191,3,Advanced Forward
Mikkel Kaufmann,281,49,3,Advanced Forward
David Datro Fofana,281,77,1,Target Man
Christoph Klarer,281,12,1,Target Man
Fares Chaïbi,281,82,3,Advanced Forward
Faride Alidou,281,142,3,Advanced Forward
Filip Stojilković,281,34,2,Complete Forward
Ermedin Demirović,281,168,1,Target Man
Davie Selke,281,90,0,Poacher
Dawid Kownacki,281,20,1,Target Man
Kevin Behrens,281,14,0,Poacher
Lucas Höler,281,93,0,Poacher
Lukas Daschner,281,32,3,Advanced Forward
Luca Pfeiffer,281,184,3,Advanced Forward
Moritz Broschinski,281,29,3,Advanced Forward
Nick Woltemade,281,89,3,Advanced Forward
Nadiem Amiri,281,4,2,Complete Forward
Nathan Ngoumou Minpole,281,14,0,Poacher
Omar Marmoush,281,94,3,Advanced Forward
Mërgim Berisha,281,6,2,Complete Forward
Marvin Ducksch,281,181,2,Complete Forward
Ihlas Bebou,281,22,3,Advanced Forward
Mathys Tel,281,23,1,Target Man
Marvin Pieringer,281,12,3,Advanced Forward
Marius Bülter,281,16,0,Poacher
Tomáš Čvančara,281,78,3,Advanced Forward
Florian Neuhaus,281,77,3,Advanced Forward
Ignacio Ferri Julià,281,15,1,Target Man
Amin Sarr,281,74,2,Complete Forward
Alassane Pléa,281,93,3,Advanced Forward
Shio Fukuda,281,15,0,Poacher
Theoson Jordan Siebatcheu,281,75,1,Target Man
Steffen Tigges,281,8,1,Target Man
Tiago Barreiros de Melo Tomás,281,103,3,Advanced Forward
Tim Skarke,281,35,2,Complete Forward
Lucas Pérez Martínez,42,138,3,Advanced Forward
Abdón Prats Bastidas,42,12,1,Target Man
Miguel Ángel Guerrero Martín,42,70,0,Poacher
Adrián López Álvarez,42,69,1,Target Man
Víctor Machín Pérez,42,26,2,Complete Forward
Aleix Febas Pérez,42,92,1,Target Man
Takefusa Kubo,42,93,3,Advanced Forward
Waldo Rubio Martín,42,91,2,Complete Forward
Takashi Inui,42,21,3,Advanced Forward
Daniel José Rodríguez Vázquez,42,92,3,Advanced Forward
Marcos Llorente Moreno,42,68,3,Advanced Forward
Brais Méndez Portela,42,25,1,Target Man
Carlos Fernández Luna,42,127,2,Complete Forward
Carles Pérez Sayol,42,5,0,Poacher
Pere Pons Riera,42,45,1,Target Man
Manuel Agudo Durán,42,34,3,Advanced Forward
Fernando Niño Rodriguez,42,21,1,Target Man
Raúl de Tomás Gómez,42,91,3,Advanced Forward
José Luis Morales Nogales,42,139,3,Advanced Forward
Jaume Vicent Costa Jordá,42,13,2,Complete Forward
Jonathan Calleri,42,93,1,Target Man
Adrián Embarba Blázquez,42,73,2,Complete Forward
Sergi Darder Moll,42,92,1,Target Man
Guido Marcelo Carrillo,42,25,1,Target Man
Sergio Guardiola Navarro,42,151,3,Advanced Forward
Javier Eraso Goñi,42,62,2,Complete Forward
Pione Sisto Ifolo Emirmija,42,62,0,Poacher
Nikola Vukčević,42,10,1,Target Man
Moisés Gómez Bordonado,42,23,1,Target Man
Sandro Ramírez Castillo,42,33,3,Advanced Forward
Enrique González Casín,42,23,0,Poacher
Rubén Rochina Naixes,42,27,1,Target Man
Ivan Rakitić,42,3,0,Poacher
Karim Benzema,42,184,3,Advanced Forward
Javier Hernández Balcázar,42,25,0,Poacher
João Félix Sequeira,42,88,0,Poacher
Roger Claver Assalé Djapone,42,47,3,Advanced Forward
Asier Villalibre Molina,42,25,0,Poacher
Pascal Cygan,44,1,2,Complete Forward
Paul Gallagher,44,56,2,Complete Forward
Peter Crouch,44,4,0,Poacher
Kenny Miller,44,76,3,Advanced Forward
Bobby Zamora,44,11,0,Poacher
Duncan Ferguson,44,92,3,Advanced Forward
Jérémie Aliadière,44,242,2,Complete Forward
Eduardo César Daude Gaspar,44,7,1,Target Man
Emile Heskey,44,81,1,Target Man
Boudewijn Zenden,44,90,1,Target Man
Andy Cole,44,124,1,Target Man
Stern John,44,42,0,Poacher
Alan Shearer,44,184,0,Poacher
Simon Johnson,44,7,1,Target Man
Fredrik Ljungberg,44,106,3,Advanced Forward
Marcus Bent,44,156,3,Advanced Forward
Trésor Lomana LuaLua,44,91,3,Advanced Forward
Steffen Iversen,44,15,0,Poacher
Shaun Newton,44,12,1,Target Man
Mark Viduka,44,83,1,Target Man
Hélder Manuel Marques Postiga,44,84,3,Advanced Forward
Frédéric Oumar Kanouté,44,89,0,Poacher
Michael Bridges,44,46,1,Target Man
Marcus Allbäck,44,86,3,Advanced Forward
Mikael Forssell,44,86,0,Poacher
Brett Ormerod,44,92,0,Poacher
Carl Cort,44,75,0,Poacher
Trevor Benjamin,44,5,0,Poacher
Trevor Sinclair,44,92,3,Advanced Forward
Matt Jansen,44,72,1,Target Man
Milan Baroš,44,26,1,Target Man
Louis Saha,44,75,0,Poacher
Leslie Ferdinand,44,75,3,Advanced Forward
Kevin Cyril Davies,44,183,1,Target Man
Malcolm Christie,44,91,2,Complete Forward
Carlton Cole Okirie,44,91,2,Complete Forward
Craig Bellamy,44,172,0,Poacher
Danny Tiatto,44,23,2,Complete Forward
Clinton Morrison,44,75,2,Complete Forward
Kolo Habib Touré,44,15,3,Advanced Forward
Kevin Phillips,44,176,3,Advanced Forward
Antoine Sibierski,44,66,0,Poacher
Nick Chadwick,44,92,0,Poacher
Jamal Julian Campbell-Ryce,44,15,2,Complete Forward
Ruud van Nistelrooy,44,182,3,Advanced Forward
Joseph-Desiré Job,44,62,2,Complete Forward
Jonatan Lillebror Johansson,44,75,2,Complete Forward
Jason Roberts,44,20,1,Target Man
Jason Joseph Euell,44,46,3,Advanced Forward
Jerrel Hasselbaink,44,33,1,Target Man
Jesper Grønkjær,44,24,2,Complete Forward
Juan Pablo Ángel Arango,44,181,0,Poacher
Szilárd Németh,44,84,3,Advanced Forward
Stewart Downing,44,3,2,Complete Forward
Adrian Mutu,44,138,2,Complete Forward
