player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Luis Ezequiel Ávila,18,4.17,5.13,2.44,8.08,9.1,4.55,4.62,1,18.0,11,4
Lei Wu,29,4.17,1.6,0.71,8.08,6.92,0.58,4.62,1,29.0,11,4
Enes Ünal,146,4.17,5.13,7.18,8.85,8.46,3.97,4.62,2,73.0,11,4
Lorenzo Jesús Morón García,71,4.17,7.05,8.4,6.35,9.87,2.88,4.62,1,71.0,11,4
André Miguel Valente Silva,77,4.17,5.13,7.82,9.62,5.26,5.9,9.94,1,77.0,11,4
Jon Bautista Orgilles,18,4.17,1.6,0.71,1.6,6.79,0.58,4.62,1,18.0,11,4
Jesé Rodríguez Ruiz,92,4.17,8.08,6.03,5.32,7.31,8.91,4.62,1,92.0,11,4
John Guidetti,12,4.17,1.6,0.71,1.6,1.67,4.55,4.62,1,12.0,11,4
Stiven Ricardo Plaza Castillo,17,4.17,1.6,3.46,1.6,1.67,5.9,4.62,1,17.0,11,4
Willian José da Silva,93,4.17,8.08,5.26,2.82,8.08,5.26,4.62,1,93.0,11,4
Abel Ruiz Ortega,25,4.17,5.13,6.54,6.99,1.15,4.23,4.62,1,25.0,11,4
Adam Hložek,148,4.14,4.47,1.45,0.79,3.55,4.61,4.21,11,13.45,9,281
Sebastian Polter,27,4.14,1.97,3.95,8.95,2.89,3.09,4.21,1,27.0,9,281
Sargis Adamyan,63,4.14,7.3,3.42,5.0,9.74,2.63,4.21,1,63.0,9,281
Sven Michel,34,4.14,1.97,3.68,9.34,8.03,9.41,4.21,2,17.0,9,281
Jan Thielmann,11,4.14,1.97,0.59,1.91,5.13,0.59,4.21,1,11.0,9,281
Jae-Sung Lee,94,4.14,5.66,8.55,5.26,8.82,6.71,4.21,1,94.0,9,281
Yorbe Vertessen,47,4.14,5.66,0.59,8.03,8.55,0.59,4.21,1,47.0,9,281
Gonçalo Mendes Paciencia,62,4.14,8.55,4.93,3.82,7.11,1.84,4.21,1,62.0,9,281
