player,minutes_played,finishing,early_shots,linkup_play,carrying,work_rate,back_to_goal,headed_duels,matches_played,avg_minutes_per_match,competition_id,season_id
Manuel Javier Vallejo Galván,6,3.64,1.62,0.45,1.69,1.3,0.45,4.35,1,6.0,11,90
Marcos André de Sousa Mendonça,61,3.64,5.06,1.17,3.7,3.38,2.08,4.35,2,30.5,11,90
Raúl García Escudero,171,3.64,6.95,4.68,5.97,3.77,3.25,4.35,2,85.5,11,90
Emre Mor,59,3.64,1.62,3.57,8.05,4.55,1.23,4.35,1,59.0,11,90
Roger Martí Salvador,140,3.64,3.51,4.81,8.7,6.1,8.44,9.55,2,70.0,11,90
Juan Camilo Hernández Suárez,88,3.64,5.06,8.96,8.57,10.0,1.62,4.35,1,88.0,11,90
Roberto Soldado Rillo,103,3.64,3.51,6.1,4.55,3.64,5.71,4.35,2,51.5,11,90
Rubén Sobrino Pozuelo,93,3.64,5.06,7.01,8.31,3.25,5.91,4.35,1,93.0,11,90
Rubén García Santos,73,3.64,5.06,5.19,4.68,2.6,3.51,4.35,1,73.0,11,90
Gerard Moreno Balaguero,176,3.64,5.06,7.4,1.69,9.87,3.77,9.16,2,88.0,11,90
Gonçalo Manuel Ganchinho Guedes,174,3.64,5.06,7.53,8.18,7.4,1.82,4.35,2,87.0,11,90
Luis Javier Suárez Charris,45,3.64,5.06,3.57,9.61,8.96,9.22,4.35,1,45.0,11,90
Nemanja Maksimović,92,3.64,7.79,6.56,1.69,8.83,4.74,4.35,1,92.0,11,90
Lucas Ariel Boyé,71,3.64,5.06,2.34,5.0,9.48,2.6,4.35,1,71.0,11,90
Daniel Escriche Romero,59,3.64,1.62,1.49,7.14,7.53,6.69,4.35,1,59.0,11,90
Daniel Gómez Alcón,122,3.64,6.49,6.36,6.75,9.35,7.14,4.35,2,61.0,11,90
Deyverson Brum Silva Acosta,66,3.64,1.62,2.6,5.0,4.81,6.49,4.35,2,33.0,11,90
Ismaël Gharbi,2,3.59,3.67,0.39,0.16,0.31,0.62,4.53,1,2.0,7,235
Islam Slimani,94,3.59,3.67,2.73,3.2,2.97,4.22,4.53,1,94.0,7,235
Habibou Mouhamadou Diallo,86,3.59,3.67,2.5,7.19,6.72,5.78,4.53,1,86.0,7,235
Jérémy Le Douaron,24,3.59,1.09,3.59,1.48,2.5,5.94,4.53,1,24.0,7,235
Kamaldeen Sulemana,8,3.59,1.09,0.94,1.48,0.94,0.62,4.53,1,8.0,7,235
Bevic Moussiti-Oko,56,3.59,7.73,0.78,7.42,9.84,5.47,4.53,1,56.0,7,235
Azzedine Ounahi,10,3.59,1.09,9.22,6.8,4.53,2.66,4.53,1,10.0,7,235
Badredine Bouanani,7,3.59,1.09,4.38,3.2,0.16,0.62,4.53,1,7.0,7,235
Jean-Mattéo Bahoya Négoce,86,3.59,6.72,9.22,7.81,8.75,2.34,4.53,1,86.0,7,235
Romain Hamouma,35,3.59,1.09,8.75,8.44,3.59,7.97,4.53,1,35.0,7,235
Sérigné Faye,30,3.59,1.09,1.72,1.48,4.22,4.22,4.53,1,30.0,7,235
Steve Michel Mounié,66,3.59,7.73,2.03,3.75,5.31,9.69,4.53,1,66.0,7,235
Ado Onaiwu,76,3.59,2.42,4.61,6.41,2.81,2.5,4.53,2,38.0,7,235
Adrien Hunou,147,3.59,5.23,5.0,4.38,5.62,4.69,4.53,2,73.5,7,235
Moussa Soumano,24,3.59,3.67,0.39,9.38,2.19,0.62,4.53,1,24.0,7,235
Pablo Sarabia García,18,3.59,2.42,5.55,3.52,0.78,8.28,4.53,2,9.0,7,235
Nuno Miguel da Costa Jóia,114,3.59,6.33,3.12,3.52,3.91,1.25,4.53,2,57.0,7,235
Moussa Dembélé,119,3.59,5.55,4.84,4.06,5.94,4.53,4.53,2,59.5,7,235
Komnen Andrić,92,3.59,2.42,3.59,1.48,2.03,1.56,9.53,2,46.0,7,235
Cengiz Ünder,103,3.59,5.55,8.44,2.5,7.5,6.25,4.53,2,51.5,7,235
Mohamed Youcef Belaïli,82,3.59,3.67,8.12,8.05,9.69,1.72,4.53,1,82.0,7,235
Maghnes Akliouche,38,3.59,1.09,9.22,8.98,2.66,3.12,4.53,1,38.0,7,235
Evann Guessand,13,3.59,1.09,5.55,1.48,1.41,0.62,4.53,1,13.0,7,235
Mostafa Mohamed Ahmed Abdallah,103,3.59,2.42,6.09,2.66,5.78,6.09,4.53,2,51.5,7,235
Mounaim El Idrissy,135,3.59,5.94,2.97,8.75,9.06,7.81,4.53,2,67.5,7,235
Marcus Coco,12,3.59,3.67,1.56,5.55,1.56,3.52,4.53,1,12.0,7,235
Ibrahima Niane,68,3.59,3.67,4.61,8.05,3.44,2.81,4.53,1,68.0,7,235
Abdallah Dipo Sima,98,3.59,6.33,4.06,7.66,4.69,3.91,4.53,2,49.0,7,235
Thijs Dallinga,105,3.59,5.0,2.73,0.47,7.97,5.16,4.53,2,52.5,7,235
Alexis Alejandro Sánchez Sánchez,157,3.59,4.77,5.94,2.81,8.59,5.0,9.53,2,78.5,7,235
Amine Salama,31,3.59,1.09,9.22,1.48,1.17,8.75,4.53,1,31.0,7,235
Vítor Manuel Carvalho Oliveira,12,3.59,3.67,0.39,1.48,0.62,0.62,4.53,1,12.0,7,235
Valère Germain,68,3.59,1.09,1.41,0.31,3.12,3.52,4.53,2,34.0,7,235
Stephy Alvaro Mavididi,92,3.59,6.72,7.19,5.16,10.0,3.28,4.53,1,92.0,7,235
Alexandre Lacazette,160,3.59,3.67,7.5,5.78,5.47,6.41,4.53,2,80.0,7,235
Vladyslav Vanat,21,3.49,1.13,0.7,2.26,2.1,0.27,4.3,1,21.0,55,282
Andraž Šporar,343,3.49,7.74,5.05,9.03,9.14,4.41,4.3,4,85.75,55,282
Mirlind Daku,13,3.49,3.98,9.52,6.45,1.18,8.49,4.3,1,13.0,55,282
Mohamed Zeki Amdouni,21,3.49,1.13,4.41,6.45,8.49,2.74,4.3,1,21.0,55,282
Marcus Thuram,165,3.49,5.05,6.56,5.91,3.33,3.44,4.3,3,55.0,55,282
Tomáš Chorý,43,3.49,6.56,0.7,0.81,4.19,2.26,4.3,2,21.5,55,282
Budu Zivzivadze,15,3.49,6.56,5.48,2.26,0.97,6.77,4.3,2,7.5,55,282
Che Adams,209,3.49,5.91,4.09,7.31,8.92,5.7,4.3,3,69.67,55,282
Denis Alibec,35,3.49,2.37,0.7,2.26,1.08,1.24,4.3,2,17.5,55,282
Marcel Sabitzer,91,3.49,3.98,6.34,5.16,9.78,6.94,4.3,1,91.0,55,282
Mateo Retegui,162,3.49,2.63,2.26,1.13,3.66,2.15,4.3,4,40.5,55,282
Martin Ádám,41,3.49,1.13,1.61,0.65,1.61,0.59,4.3,2,20.5,55,282
David Brekalo,0,3.49,1.13,0.7,0.22,0.27,0.27,4.3,1,0.0,55,282
David Strelec,179,3.49,5.7,1.83,3.98,2.47,3.23,4.3,4,44.75,55,282
Giorgi Kvilitaia,6,3.49,1.13,4.41,2.26,0.27,4.78,4.3,1,6.0,55,282
Benjamin Šeško,356,3.49,5.81,5.7,9.68,7.31,8.06,9.46,4,89.0,55,282
Rafael Alexandre Conceição Leão,60,3.49,3.98,2.53,7.74,1.72,0.86,4.3,1,60.0,55,282
Rasmus Winther Højlund,284,3.49,5.16,8.06,8.49,8.6,3.12,4.3,4,71.0,55,282
Donyell Malen,45,3.49,3.98,7.69,2.26,7.96,1.24,4.3,1,45.0,55,282
Dušan Vlahović,116,3.49,3.98,1.94,5.7,5.05,6.13,4.3,2,58.0,55,282
Dániel Gazdag,4,3.49,1.13,4.41,2.26,1.4,10.0,4.3,1,4.0,55,282
Kacper Urbanski,148,3.49,6.56,6.77,5.05,5.38,3.01,4.3,2,74.0,55,282
Karol Świderski,99,3.49,2.63,2.8,6.67,5.27,2.37,4.3,3,33.0,55,282
Barış Alper Yılmaz,374,3.49,2.9,9.14,9.78,9.03,3.87,4.3,4,93.5,55,282
Artem Dovbyk,247,3.49,5.59,7.96,7.85,4.73,5.48,4.3,3,82.33,55,282
Armando Broja,107,3.49,5.27,5.48,6.13,3.01,3.76,4.3,2,53.5,55,282
Muhammed Kerem Aktürkoğlu,13,3.49,1.13,0.7,7.1,8.17,4.78,4.3,1,13.0,55,282
Mojmír Chytil,113,3.49,2.63,3.71,6.45,2.26,3.33,4.3,3,37.67,55,282
Diogo José Teixeira da Silva,30,3.49,1.13,2.04,7.63,3.98,8.71,4.3,1,30.0,55,282
Žan Celar,50,3.49,6.56,1.61,0.81,8.06,0.59,4.3,2,25.0,55,282
Róbert Boženík,208,3.49,4.95,4.95,7.2,7.2,2.47,4.3,4,52.0,55,282
Gianluca Scamacca,248,3.49,7.31,7.2,8.17,3.55,5.81,4.3,4,62.0,55,282
Giacomo Raspadori,72,3.49,3.98,8.17,4.25,6.67,9.14,4.3,1,72.0,55,282
George Alexandru Puşcaş,44,3.49,1.13,1.4,6.13,4.09,8.82,4.3,2,22.0,55,282
John McGinn,89,3.49,1.13,3.17,6.77,4.62,7.31,4.3,1,89.0,55,282
Josip Iličić,18,3.49,1.13,8.6,2.26,8.28,1.83,4.3,1,18.0,55,282
Rey Manaj,159,3.49,2.63,2.69,2.26,6.99,4.09,9.3,3,53.0,55,282
Roland Sallai,96,3.49,3.98,7.04,6.99,9.46,6.02,4.3,1,96.0,55,282
Yussuf Yurary Poulsen,57,3.49,1.13,3.71,5.81,3.12,9.35,4.3,3,19.0,55,282
Ryan Christie,84,3.49,1.13,3.44,2.26,4.52,7.42,4.3,2,42.0,55,282
Ruben Vargas,74,3.49,3.98,6.13,6.88,5.7,4.19,4.3,1,74.0,55,282
Romelu Lukaku Menama,352,3.49,6.13,6.67,9.14,9.35,9.25,4.3,4,88.0,55,282
Yusuf Yazıcı,62,3.49,3.98,4.84,2.26,6.45,4.78,9.73,2,31.0,55,282
Zuriko Davitashvili,8,3.49,3.98,0.7,2.26,2.1,7.74,4.3,1,8.0,55,282
Žan Vipotnik,19,3.49,1.13,0.7,0.22,2.37,7.74,4.3,1,19.0,55,282
Jan Kuchta,59,3.49,1.13,9.52,7.53,7.53,1.83,4.3,1,59.0,55,282
Lewis Morgan,7,3.49,3.98,0.7,2.26,0.75,9.68,4.3,1,7.0,55,282
Lazar Samardžić,11,3.49,3.98,4.41,5.48,0.27,3.6,4.3,1,11.0,55,282
Lawrence Shankland,39,3.49,1.13,4.73,4.84,5.16,5.91,4.3,3,13.0,55,282
Kevin De Bruyne,92,3.49,3.98,8.39,4.52,5.48,6.94,4.3,1,92.0,55,282
Dan Ndoye,85,3.49,3.98,9.03,5.48,2.8,3.98,4.3,1,85.0,55,282
Hirving Rodrigo Lozano Bahena,72,3.31,5.0,1.28,7.29,7.52,1.8,4.1,1,72.0,43,106
Callum Wilson,56,3.31,1.35,8.46,1.58,5.26,1.58,4.1,2,28.0,43,106
Mathew Leckie,71,3.31,1.35,5.19,5.19,3.23,7.29,4.1,1,71.0,43,106
Darwin Gabriel Núñez Ribeiro,244,3.31,5.86,6.47,9.1,8.5,8.65,4.1,3,81.33,43,106
Charles De Ketelaere,13,3.31,1.35,3.61,6.54,0.83,2.41,4.1,1,13.0,43,106
Akram Hassan Afif,278,3.31,6.58,10.0,9.25,9.85,6.84,4.1,3,92.67,43,106
Ui-Jo Hwang,99,3.31,2.78,1.95,0.6,2.86,1.13,4.1,3,33.0,43,106
Timothy Weah,161,3.31,3.61,9.17,4.59,9.32,3.98,9.62,2,80.5,43,106
Haris Seferović,75,3.31,2.78,2.48,6.02,0.9,3.53,4.1,3,25.0,43,106
Hattan Babhir,0,3.31,1.35,0.53,0.26,0.11,0.41,4.1,1,0.0,43,106
Boulaye Dia,226,3.31,6.32,8.72,8.05,7.14,2.86,4.1,3,75.33,43,106
Ajdin Hrustic,30,3.31,1.35,5.9,4.29,3.38,8.35,4.1,1,30.0,43,106
Ahmed Alaa Eldin Abdelmotaal,8,3.31,1.35,0.53,0.26,0.71,9.29,4.1,1,8.0,43,106
Vincent Janssen,90,3.31,3.61,5.56,2.52,6.24,1.73,4.1,2,45.0,43,106
Walid Cheddira,63,3.31,5.71,5.56,6.69,3.91,5.79,4.1,2,31.5,43,106
Abderrazak Hamdallah,73,3.31,3.61,3.05,1.65,6.77,8.42,4.1,4,18.25,43,106
Sardar Azmoun,128,3.31,4.21,6.54,7.22,2.71,6.77,8.38,3,42.67,43,106
Jason Cummings,40,3.31,1.35,5.9,0.53,6.47,0.41,4.1,1,40.0,43,106
Giovanni Reyna,58,3.31,3.61,1.35,4.47,4.66,0.9,4.1,2,29.0,43,106
Haitham Mohammed Asiri,14,3.31,1.35,3.61,2.52,1.35,7.59,4.1,1,14.0,43,106
Abdulrahman Al-Obood,32,3.31,1.35,9.25,2.52,8.72,9.55,4.1,1,32.0,43,106
Steven Bergwijn,269,3.31,6.09,9.4,8.42,5.41,7.67,4.1,4,67.25,43,106
Antoine Semenyo,25,3.31,5.0,0.53,2.52,4.51,1.43,4.1,1,25.0,43,106
Garang Kuol,24,3.31,5.0,0.53,0.26,1.65,0.41,4.1,1,24.0,43,106
Anthony Daniel Contreras Enríquez,122,3.31,1.35,2.18,5.45,2.63,9.92,4.1,2,61.0,43,106
Iñaki Williams Arthuer,267,3.31,4.59,8.57,9.4,9.62,5.19,4.1,3,89.0,43,106
Jackson Irvine,95,3.31,1.35,7.48,2.52,6.99,5.86,4.1,1,95.0,43,106
Joshua Sargent,155,3.31,4.51,2.33,3.83,3.01,2.93,4.1,3,51.67,43,106
José Adoni Cifuentes Charcopa,16,3.31,1.35,0.53,2.52,1.88,1.88,4.1,1,16.0,43,106
Riley McGree,134,3.31,5.71,4.51,4.96,4.89,3.61,4.1,2,67.0,43,106
Jonathan David,195,3.31,4.44,8.2,5.64,8.8,6.39,4.1,3,65.0,43,106
Andrej Kramarić,207,3.31,3.08,5.41,6.77,5.11,2.78,4.1,3,69.0,43,106
Youssoufa Moukoko,0,3.31,1.35,0.53,0.26,0.11,0.41,4.1,1,0.0,43,106
Rogelio Gabriel Funes Mori,10,3.31,5.0,0.53,0.26,0.98,0.41,4.1,1,10.0,43,106
Xherdan Shaqiri,93,3.31,5.0,7.67,3.38,7.67,1.65,4.1,1,93.0,43,106
Issam Jebali,190,3.31,3.01,3.83,5.94,6.39,2.63,4.1,3,63.33,43,106
Mohammed Kanoo,96,3.31,6.2,6.62,3.91,10.0,9.29,4.1,1,96.0,43,106
Karim Ansarifard,46,3.31,3.61,4.81,0.94,0.53,9.29,4.1,2,23.0,43,106
Ardon Jashari,5,3.31,1.35,2.56,2.52,0.38,6.2,4.1,1,5.0,43,106
Daichi Kamada,93,3.31,5.0,5.11,4.81,5.49,6.2,4.1,1,93.0,43,106
Lucas Daniel Cavallini,22,3.31,1.35,0.53,2.52,1.58,0.41,4.1,1,22.0,43,106
Cyle Larin,135,3.31,2.93,7.48,5.86,3.53,5.64,8.27,3,45.0,43,106
Noah Okafor,2,3.31,1.35,0.53,7.97,3.46,0.41,4.1,1,2.0,43,106
Michael Steveen Estrada Martínez,225,3.31,4.29,6.17,7.14,6.69,8.27,4.1,3,75.0,43,106
Daniel James,46,3.31,1.35,3.61,2.52,8.65,2.03,4.1,1,46.0,43,106
Ernesto Alexis Vega Rojas,63,3.31,6.2,1.58,6.92,2.11,0.41,4.1,1,63.0,43,106
Firas Tariq Nasser Al Albirakan,277,3.31,6.58,8.8,9.77,9.1,8.95,4.1,3,92.33,43,106
Heung-Min Son,92,3.31,5.0,3.46,4.66,7.97,6.32,4.1,1,92.0,43,106
Almoez Ali Zainalabiddin Abdulla,227,3.31,4.36,7.22,7.44,5.79,3.76,4.1,3,75.67,43,106
Thomas Müller,134,3.31,4.14,3.05,2.52,3.76,1.5,4.1,2,67.0,43,106
Taha Yassine Khenissi,34,3.31,3.61,0.53,1.2,7.44,0.41,4.1,2,17.0,43,106
Gabriel Fernando de Jesus,102,3.31,2.78,9.32,3.68,5.34,3.68,4.1,3,34.0,43,106
Piotr Zieliński,93,3.31,1.35,4.81,6.32,1.73,4.96,4.1,1,93.0,43,106
Johan Alberto Venegas Ulloa,73,3.31,1.35,6.92,5.75,5.04,2.18,4.1,1,73.0,43,106
Jesus Ferreira,45,3.31,1.35,9.62,2.52,4.59,0.98,4.1,1,45.0,43,106
Edinson Roberto Cavani Gómez,134,3.31,5.98,3.98,5.11,2.78,1.95,4.1,3,44.67,43,106
Jamie MacLaren,65,3.31,1.35,2.07,1.2,1.28,3.08,4.1,3,21.67,43,106
Xavi Simons,12,3.31,1.35,5.9,7.89,1.43,2.41,4.1,1,12.0,43,106
Andreas Skov Olsen,64,3.31,1.35,6.32,4.29,1.8,4.21,4.1,1,64.0,43,106
Andreas Evald Cornelius,97,3.31,5.45,4.59,3.53,6.02,9.47,8.57,3,32.33,43,106
Zakaria Aboukhlal,44,3.31,5.0,4.81,2.52,4.81,8.5,4.1,2,22.0,43,106
Ayase Ueda,45,3.31,1.35,4.81,5.75,8.05,8.57,4.1,1,45.0,43,106
Dušan Tadić,185,3.31,1.35,5.04,6.09,8.35,3.16,4.1,2,92.5,43,106
Joel Nathaniel Campbell Samuels,285,3.31,3.61,8.12,8.57,8.57,6.69,4.1,3,95.0,43,106
Jewison Bennette,30,3.31,1.35,0.53,7.67,6.54,3.87,4.1,1,30.0,43,106
Raúl Alonso Jiménez Rodríguez,68,3.31,1.35,4.1,4.29,0.23,7.82,4.1,3,22.67,43,106
Djorkaeff Neicer Reasco González,27,3.31,1.35,5.9,2.52,0.71,0.41,4.1,1,27.0,43,106
Arkadiusz Milik,78,3.31,3.61,2.07,6.47,2.41,2.56,4.1,2,39.0,43,106
Kieffer Roberto Francisco Moore,245,3.31,6.39,5.34,7.59,6.84,4.44,4.1,3,81.67,43,106
Leandro Trossard,57,3.31,1.35,6.77,3.61,5.19,9.1,4.1,1,57.0,43,106
Kevin José Rodríguez Cortez,9,3.31,3.61,0.53,0.26,1.2,1.28,4.1,2,4.5,43,106
Mohammed Kudus,97,3.31,5.71,9.62,5.26,8.42,5.56,4.1,1,97.0,43,106
Andrea Bertolacci,6,2.35,0.87,2.06,1.32,0.97,9.87,3.19,1,6.0,12,27
Simone Verdi,19,2.35,0.87,0.45,4.48,0.71,2.87,3.19,1,19.0,12,27
Stefano Mauri,78,2.35,1.94,1.16,0.84,1.48,1.32,3.19,4,19.5,12,27
Tim Matavž,464,2.35,3.48,2.9,7.23,6.13,7.48,3.19,6,77.33,12,27
Alessandro Diamanti,9,2.35,0.87,9.65,1.32,8.39,1.23,3.19,1,9.0,12,27
Alessandro Piu,195,2.35,1.74,0.9,2.77,1.61,1.61,3.19,8,24.38,12,27
Valter Birsa,72,2.35,0.87,5.81,1.74,6.77,6.58,3.19,1,72.0,12,27
Fernando Llorente Torres,15,2.35,0.87,4.19,1.32,0.13,0.42,3.19,1,15.0,12,27
Federico Bonazzoli,59,2.35,0.87,4.19,1.32,1.55,2.58,3.19,2,29.5,12,27
Marco Tumminello,2,2.35,0.87,0.45,0.32,0.84,0.42,3.19,1,2.0,12,27
Daniele Verde,13,2.35,2.48,0.45,4.48,4.19,8.06,3.19,1,13.0,12,27
Darko Lazović,65,2.35,0.87,4.77,2.45,2.13,2.45,3.19,2,32.5,12,27
Christian Maggio,5,2.35,0.87,0.45,1.32,4.39,0.42,3.19,1,5.0,12,27
Bruno Miguel Borges Fernandes,55,2.35,4.81,2.06,2.0,6.06,6.39,3.19,1,55.0,12,27
Carlos Joaquín Correa,53,2.35,1.94,3.23,3.29,8.97,8.19,3.19,2,26.5,12,27
Maximiliano Nicol Moralez,185,2.35,2.94,8.13,2.97,3.03,3.35,3.19,2,92.5,12,27
Matuzalém Francelino da Silva,9,2.35,0.87,4.19,1.32,0.13,0.42,3.19,1,9.0,12,27
Mato Jajalo,0,2.35,0.87,0.45,0.32,0.26,0.42,3.19,1,0.0,12,27
Massimiliano Carlini,30,2.35,1.94,9.65,5.16,2.39,4.13,3.19,2,15.0,12,27
Boško Janković,89,2.35,2.48,1.74,3.48,5.03,2.16,3.19,1,89.0,12,27
Simone Pepe,80,2.35,7.03,3.42,2.71,1.42,8.13,3.19,1,80.0,12,27
Francesco Acerbi,93,2.35,0.87,8.65,2.65,9.48,4.26,3.19,1,93.0,12,27
Franco Brienza,121,2.35,2.13,5.35,1.81,8.65,8.39,3.19,2,60.5,12,27
Alejandro Miguel Rodriguez,41,2.35,0.87,0.45,0.65,0.58,0.97,3.19,5,8.2,12,27
Simone Edera,4,2.35,0.87,0.45,1.32,0.52,0.42,3.19,1,4.0,12,27
Amauri Carvalho de Oliveira,12,2.35,0.87,2.06,0.32,0.65,2.16,3.19,1,12.0,12,27
Alejandro Darío Gómez,357,2.35,3.1,6.97,9.74,9.74,7.1,3.19,4,89.25,12,27
Aleksandar Tonev,112,2.35,2.74,1.48,4.0,4.32,3.29,9.84,3,37.33,12,27
Kingsley Coman,63,2.35,2.74,3.52,2.84,7.29,1.94,3.19,1,63.0,12,27
Luca Siligardi,80,2.35,1.94,1.55,3.35,9.42,0.84,3.19,2,40.0,12,27
Nicola Sansone,180,2.35,5.42,5.48,2.32,9.61,1.87,3.19,2,90.0,12,27
Norbert Sándor Balogh,35,2.35,3.42,1.42,2.39,2.84,9.68,3.19,2,17.5,12,27
Lucas Nahuel Castro,184,2.35,4.97,7.35,3.42,8.19,4.0,3.19,2,92.0,12,27
Cristian Raimondi,29,2.35,0.87,2.06,1.32,1.29,2.16,3.19,1,29.0,12,27
Levan Mchedlidze,325,2.35,3.16,2.39,4.84,1.74,6.77,7.55,13,25.0,12,27
Antonino La Gumina,66,2.35,2.19,1.23,0.77,1.87,0.9,3.19,3,22.0,12,27
Paweł Wszołek,36,2.35,0.87,1.0,4.06,2.52,1.32,3.19,1,36.0,12,27
Diego Ángel Capel Trinidad,215,2.35,3.55,2.32,3.1,2.06,1.1,3.19,7,30.71,12,27
Jules Olivier Ntcham,275,2.35,3.61,9.87,8.71,6.58,6.32,3.19,3,91.67,12,27
Raphael Martinho Alves de Lima,13,2.35,0.87,0.45,0.32,1.16,0.42,3.19,1,13.0,12,27
Rade Krunić,27,2.35,0.87,1.0,3.94,1.03,2.87,3.19,2,13.5,12,27
Borja Valero Iglesias,90,2.35,3.77,8.32,2.06,3.29,1.74,3.19,1,90.0,12,27
Emanuele Giaccherini,183,2.35,4.45,6.19,2.9,2.71,4.32,3.19,2,91.5,12,27
Emanuele Suagher,1,2.35,0.87,4.19,0.32,0.32,0.42,3.19,1,1.0,12,27
Kamil Wilczek,119,2.35,2.74,3.52,1.9,2.45,2.52,3.19,3,39.67,12,27
Antonio Di Gaudio,211,2.35,3.94,2.65,4.65,4.97,2.39,3.19,4,52.75,12,27
Keita Baldé Diao,548,2.35,2.26,9.29,9.81,4.65,9.03,3.19,10,54.8,12,27
Domenico Berardi,84,2.35,2.48,6.45,2.58,8.84,3.61,3.19,1,84.0,12,27
Nicolás Ignacio Castillo Mora,291,2.35,4.32,3.61,5.87,9.55,1.48,3.19,4,72.75,12,27
Panagiotis Tachtsidis,54,2.35,5.29,2.97,2.23,5.42,9.81,3.19,2,27.0,12,27
Paul-José M''Poku Ebunge,273,2.35,2.32,5.94,9.55,8.71,9.55,3.19,8,34.12,12,27
Juan Ignacio Gómez Taleb,1091,2.35,4.19,6.9,5.74,7.48,8.26,3.19,18,60.61,12,27
Juan Guillermo Cuadrado Bello,12,2.35,0.87,9.65,1.32,1.23,4.52,3.19,1,12.0,12,27
Rodrigo Sebastián Aguirre Soto,332,2.35,3.77,3.16,10.0,7.1,2.71,3.19,9,36.89,12,27
Roberto Maximiliano Pereyra,91,2.35,4.81,6.52,3.16,10.0,1.03,3.19,1,91.0,12,27
Andrés Fabián Ponce Núñez,4,2.35,0.87,0.45,0.32,4.26,0.42,3.19,1,4.0,12,27
Andrea Poli,8,2.35,0.87,4.19,0.32,0.42,0.42,3.19,1,8.0,12,27
Ryder Matos Santos,641,2.35,3.29,3.94,9.48,7.03,3.87,3.19,11,58.27,12,27
Ricardo Gabriel Álvarez,33,2.35,2.48,2.84,3.74,1.94,1.68,3.19,1,33.0,12,27
Robert Acquafresca,191,2.35,3.68,1.87,0.9,2.97,5.68,3.19,4,47.75,12,27
Riccardo Saponara,185,2.35,2.94,6.58,3.03,8.0,5.55,3.19,2,92.5,12,27
Gaetano Monachello,340,2.35,4.13,6.39,8.13,5.48,7.03,3.19,8,42.5,12,27
Ante Rebić,142,2.35,2.74,2.45,3.61,4.06,1.42,3.19,3,47.33,12,27
Samuele Longo,318,2.35,3.35,1.81,4.13,2.32,8.71,7.39,14,22.71,12,27
Guglielmo Stendardo,24,2.35,0.87,9.65,1.32,1.35,2.87,3.19,1,24.0,12,27
Giuseppe Rossi,238,2.35,4.52,3.1,4.58,2.19,6.13,3.19,6,39.67,12,27
Goran Pandev,829,2.35,3.23,7.03,6.39,5.94,5.35,8.55,14,59.21,12,27
Giuseppe Panico,1,2.35,0.87,0.45,1.32,0.42,0.42,3.19,1,1.0,12,27
Sergej Milinković-Savić,94,2.35,4.81,1.35,3.23,3.87,4.65,3.19,1,94.0,12,27
Sebastian De Maio,93,2.35,1.94,1.61,6.0,6.97,9.94,8.97,2,46.5,12,27
Segundo Víctor Ibarbo Guerrero,0,2.35,0.87,0.45,0.32,0.13,10.0,3.19,1,0.0,12,27
