defender,team,season_id,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,cluster_profile,relative_box_defending,relative_aerial_ability,relative_one_v_one,relative_defensive_pressure,relative_ball_progression
Luca Martinelli,Empoli,27,5.5,5.5,5.5,5.5,5.1,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.3200000000000003
Lucas Hernández Pi,Atlético Madrid,4,6.3,6.3,6.3,6.1,5.8,Defensive Stopper,0.13999999999999968,0.13999999999999968,0.13999999999999968,-0.0600000000000005,-0.3600000000000003
Lucas René Olaza Catrofe,Real Valladolid,90,6.1,6.1,6.1,6.1,7.3,Defensive Stopper,-0.2400000000000002,-0.2400000000000002,-0.2400000000000002,-0.2400000000000002,0.96
Lucas Silva Melo,Eintracht Frankfurt,281,6.0,6.0,6.0,6.0,6.0,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Lukas Klostermann,RB Leipzig,281,6.0,6.0,6.0,6.0,6.2,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.16000000000000014
Luke Shaw,England,282,4.9,4.9,4.9,4.9,4.9,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Léo Pétrot,Lorient,108,5.9,5.9,5.9,5.9,5.7,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Mamadou Sakho,Montpellier,235,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Manuel Gulde,Freiburg,281,6.3,6.3,6.3,6.2,6.6,Defensive Stopper,-0.03999999999999915,-0.03999999999999915,-0.03999999999999915,-0.1399999999999988,0.2600000000000007
Marc Bartra Aregall,Real Betis,4,7.9,7.9,7.9,8.2,7.9,Defensive Stopper,-0.0600000000000005,-0.0600000000000005,-0.0600000000000005,0.23999999999999844,-0.0600000000000005
Marcelo Antônio Guedes Filho,Bordeaux,108,5.9,5.9,5.9,5.9,6.1,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.15999999999999925
Marco Antônio De Mattos Filho,Udinese,27,4.5,4.5,4.5,4.5,4.5,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Marco Friedl,Werder Bremen,281,6.0,6.0,6.0,5.9,5.8,Defensive Stopper,0.0600000000000005,0.0600000000000005,0.0600000000000005,-0.03999999999999915,-0.13999999999999968
Marco Parolo,Lazio,27,5.5,5.5,5.5,5.6,5.4,Defensive Stopper,0.0,0.0,0.0,0.09999999999999964,-0.09999999999999964
Marcos Aoás Corrêa,Paris Saint-Germain,235,8.7,8.7,8.7,8.7,8.7,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Marcos Mauro López Gutiérrez,Cádiz,90,6.3,6.3,6.3,6.3,6.1,Defensive Stopper,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,-0.16000000000000014
Mario Gaspar Pérez Martínez,Villarreal,90,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Mario Melchiot,Chelsea,44,5.8,5.8,5.8,5.7,6.1,Defensive Stopper,-0.03999999999999915,-0.03999999999999915,-0.03999999999999915,-0.1399999999999988,0.2600000000000007
Mario Suárez Mata,Fiorentina,27,5.5,5.5,5.5,5.7,5.4,Defensive Stopper,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.17999999999999972,-0.1200000000000001
Mark Fish,Charlton Athletic,44,7.1,7.1,7.1,7.2,7.5,Defensive Stopper,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053,0.0,0.2999999999999998
Markus Babbel,Blackburn Rovers,44,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Martin Keown,Arsenal,44,8.7,8.7,8.7,8.5,8.7,Defensive Stopper,0.03999999999999915,0.03999999999999915,0.03999999999999915,-0.16000000000000014,0.03999999999999915
Martín Zubimendi Ibáñez,Real Sociedad,90,5.8,5.8,5.8,5.8,6.0,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.16000000000000014
Massadio Haïdara,Lens,108,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Massimo Gobbi,Chievo,27,5.5,5.5,5.5,5.8,5.8,Defensive Stopper,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,0.17999999999999972,0.17999999999999972
Matej Maglica,Darmstadt 98,281,6.1,6.1,6.1,6.1,6.6,Defensive Stopper,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053,0.39999999999999947
Mateusz Wieteska,Clermont Foot,235,6.6,6.6,6.6,6.6,7.6,Defensive Stopper,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,0.7999999999999998
Matheus Soares Thuler,Montpellier,108,5.5,5.5,5.5,5.5,5.5,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Mathias Jensen,Denmark,106,5.0,5.0,5.0,5.0,5.2,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.16000000000000014
Matt Heath,Leicester City,44,5.8,5.8,5.8,5.7,5.5,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.019999999999999574,-0.21999999999999975
Matteo Brighi,Bologna,27,5.5,5.5,5.5,5.1,5.2,Defensive Stopper,0.13999999999999968,0.13999999999999968,0.13999999999999968,-0.2600000000000007,-0.16000000000000014
Matteo Ciofani,Frosinone,27,7.4,7.4,7.4,7.1,7.2,Defensive Stopper,0.09999999999999876,0.09999999999999876,0.09999999999999876,-0.20000000000000195,-0.10000000000000142
Matteo Darmian,Italy,282,5.4,5.4,5.4,5.3,5.1,Defensive Stopper,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.020000000000000462,-0.22000000000000064
Matteo Mancosu,Bologna,27,4.5,4.5,4.5,4.5,4.5,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Matthew Upson,Birmingham City,44,7.1,7.1,7.1,6.7,7.0,Defensive Stopper,0.09999999999999964,0.09999999999999964,0.09999999999999964,-0.2999999999999998,0.0
Matthias Ginter,Freiburg,281,6.6,6.6,6.6,6.5,7.3,Defensive Stopper,-0.11999999999999922,-0.11999999999999922,-0.11999999999999922,-0.21999999999999886,0.580000000000001
Matthijs de Ligt,Netherlands,106,5.8,5.8,5.8,5.8,5.8,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Mattia Viti,OGC Nice,235,5.7,5.7,5.7,5.7,6.1,Defensive Stopper,-0.07999999999999918,-0.07999999999999918,-0.07999999999999918,-0.07999999999999918,0.3200000000000003
Matías Vecino Falero,Fiorentina,27,5.5,5.5,5.5,5.1,5.3,Defensive Stopper,0.11999999999999922,0.11999999999999922,0.11999999999999922,-0.28000000000000114,-0.08000000000000096
Maurizio Domizzi,Udinese,27,8.0,8.0,8.0,6.7,8.0,Defensive Stopper,0.2599999999999998,0.2599999999999998,0.2599999999999998,-1.04,0.2599999999999998
Maxence Lacroix,Wolfsburg,281,6.9,6.9,6.9,6.8,7.2,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.14000000000000057,0.2599999999999998
Maxime Le Marchand,Strasbourg,108,5.3,5.3,5.3,5.3,5.3,Defensive Stopper,0.0,0.0,0.0,0.0,0.0
Maximilian Mittelstädt,VfB Stuttgart,281,5.8,5.8,5.8,5.8,6.0,Defensive Stopper,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.16000000000000014
Maximilian Wöber,Austria,282,6.8,6.8,6.8,6.6,6.6,Defensive Stopper,0.07999999999999918,0.07999999999999918,0.07999999999999918,-0.120000000000001,-0.120000000000001
Maya Yoshida,Japan,106,9.1,9.1,9.1,9.1,8.5,Defensive Stopper,0.11999999999999922,0.11999999999999922,0.11999999999999922,0.11999999999999922,-0.4800000000000004
