defender,team,minutes_played,box_defending,aerial_ability,one_v_one,defensive_pressure,ball_progression,matches_played,full_match_equivalent,box_defending_ci,aerial_ability_ci,one_v_one_ci,defensive_pressure_ci,ball_progression_ci,composite_score,competition_id,season_id
Simone Romagnoli,Carpi,2663.35,9.5,9.5,9.5,8.6,8.2,30,29.6,0.03,0.03,0.03,0.03,0.05,9.06,12,27
Boštjan Cesar,Chievo,2767.43,9.5,9.5,9.5,8.3,8.5,31,30.7,0.03,0.03,0.03,0.03,0.05,9.06,12,27
Cristian Eduardo Zapata Valencia,AC Milan,1343.8,9.5,9.5,9.5,8.7,8.0,16,14.9,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Dario Dainelli,Chievo,1381.53,9.5,9.5,9.5,8.0,8.7,18,15.4,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Aljaž Struna,Palermo,765.85,9.5,9.5,9.5,8.3,8.4,9,8.5,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Aymeric Laporte,Spain,536.93,9.2,9.2,9.2,8.6,9.0,6,6.0,0.03,0.03,0.03,0.04,0.06,9.04,55,282
Wesley Hoedt,Lazio,2110.48,9.5,9.5,9.5,7.7,9.0,25,23.4,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Dayotchanculle Upamecano,France,590.9,9.2,9.2,9.2,9.2,8.4,6,6.6,0.03,0.03,0.03,0.04,0.06,9.04,55,282
Roberto Vitiello,Palermo,604.92,9.5,9.5,9.5,8.7,8.0,7,6.7,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Igor Bubnjić,Carpi,738.7,9.5,9.5,9.5,8.1,8.6,9,8.2,0.03,0.03,0.03,0.03,0.05,9.04,12,27
Gary Alexis Medel Soto,Inter Milan,543.92,9.5,9.5,9.5,8.6,8.0,6,6.0,0.03,0.03,0.03,0.03,0.05,9.02,12,27
Joško Gvardiol,Croatia,713.87,9.1,9.1,9.1,9.1,8.7,7,7.9,0.03,0.03,0.03,0.03,0.05,9.02,43,106
Edoardo Goldaniga,Palermo,1232.63,9.5,9.5,9.5,8.0,8.6,17,13.7,0.03,0.03,0.03,0.03,0.05,9.02,12,27
Nayef Aguerd,Morocco,353.95,9.1,9.1,9.1,9.1,8.7,4,3.9,0.03,0.03,0.03,0.03,0.05,9.02,43,106
Milan Škriniar,Slovakia,396.93,9.2,9.2,9.2,8.6,8.9,4,4.4,0.03,0.03,0.03,0.04,0.06,9.02,55,282
Jeison Fabián Murillo Cerón,Inter Milan,2892.58,9.5,9.5,9.5,8.4,8.2,34,32.1,0.03,0.03,0.03,0.03,0.05,9.02,12,27
Antonio Rüdiger,AS Roma,2616.4,9.5,9.5,9.5,8.3,8.3,29,29.1,0.03,0.03,0.03,0.03,0.05,9.02,12,27
Alessandro Bastoni,Italy,376.92,9.2,9.2,9.2,8.6,8.9,4,4.2,0.03,0.03,0.03,0.04,0.06,9.02,55,282
Kalidou Koulibaly,Napoli,2963.42,9.5,9.5,9.5,8.3,8.3,33,32.9,0.03,0.03,0.03,0.03,0.05,9.02,12,27
Guglielmo Stendardo,Atalanta,1133.52,9.5,9.5,9.5,8.6,7.9,15,12.6,0.03,0.03,0.03,0.03,0.05,9.0,12,27
Nenad Tomović,Fiorentina,1352.57,9.5,9.5,9.5,8.4,8.1,18,15.0,0.03,0.03,0.03,0.03,0.05,9.0,12,27
Vangelis Moras,Hellas Verona,2798.35,9.5,9.5,9.5,7.8,8.7,31,31.1,0.03,0.03,0.03,0.03,0.05,9.0,12,27
Ervin Zukanović,Sampdoria,1167.77,9.5,9.5,9.5,7.7,8.8,20,13.0,0.03,0.03,0.03,0.03,0.05,9.0,12,27
Daniele Rugani,Juventus,1203.63,9.5,9.5,9.5,8.6,7.9,17,13.4,0.03,0.03,0.03,0.03,0.05,9.0,12,27
Paolo Cannavaro,Sassuolo,2692.43,9.5,9.5,9.5,7.7,8.7,31,29.9,0.03,0.03,0.03,0.03,0.05,8.98,12,27
Nathan Aké,Netherlands,495.92,9.1,9.1,9.1,9.1,8.5,5,5.5,0.03,0.03,0.03,0.03,0.05,8.98,43,106
Maya Yoshida,Japan,400.93,9.1,9.1,9.1,9.1,8.5,4,4.5,0.03,0.03,0.03,0.03,0.05,8.98,43,106
Raphaël Varane,France,509.95,9.1,9.1,9.1,9.1,8.5,6,5.7,0.03,0.03,0.03,0.03,0.05,8.98,43,106
Thiago Emiliano da Silva,Brazil,406.93,9.1,9.1,9.1,9.1,8.5,4,4.5,0.03,0.03,0.03,0.03,0.05,8.98,43,106
Andrea Ranocchia,Sampdoria,1172.7,9.5,9.5,9.5,8.0,8.4,23,13.0,0.03,0.03,0.03,0.03,0.05,8.98,12,27
